*******************************************************************************
 Revised: Apr 28, 2015           S 2004 N1 / (Neptune)                      814

 Newly discovered Neptunian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 07:58:16 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 2004N1 (814)                    {source: nep088}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.266873582482426E+09, -1.364235133488262E+09, -7.019142145073849E+07, -2.989847192533168E+00, -1.386005675100257E+00, -6.049220952359333E-01,  1.494436929146623E+04,  4.480209203148378E+09, -2.415959061678462E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.266998072246542E+09, -1.363815740104281E+09, -7.020856106768078E+07, -8.185173906693317E-01, -2.287613103445652E+00, -1.818314096852488E+00,  1.494433975585847E+04,  4.480200348595929E+09, -5.470026672044586E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.267132534258798E+09, -1.363398442114890E+09, -7.023053548412704E+07,  1.616509330071958E+00, -2.379962150399566E+00, -2.851395916230240E+00,  1.494434442459567E+04,  4.480201748248131E+09,  2.308590524645139E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.267277600701643E+09, -1.362979701467093E+09, -7.025636651204580E+07,  4.052088858832639E+00, -1.653771560887620E+00, -3.593073633853123E+00,  1.494438166593299E+04,  4.480212912920186E+09,  4.418959941107608E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.267432701793440E+09, -1.362556182465457E+09, -7.028466297173256E+07,  6.224614441842685E+00, -1.876854955927718E-01, -3.963012418394536E+00,  1.494444621760219E+04,  4.480232265023762E+09,  6.048211933403000E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.267596126059831E+09, -1.362125058690734E+09, -7.031372074040252E+07,  7.899240314665354E+00,  1.860531739790197E+00, -3.920624249195997E+00,  1.494452969394808E+04,  4.480257290602680E+09,  7.020169177556075E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267765259737851E+09, -1.361684269829278E+09, -7.034170520125830E+07,  8.895609778309284E+00,  4.270597046291567E+00, -3.470144054045447E+00,  1.494462161523255E+04,  4.480284847910498E+09,  7.230179889232072E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.267936922655896E+09, -1.361232750673681E+09, -7.036689788317585E+07,  9.106908500317690E+00,  6.782751929806655E+00, -2.660523374196045E+00,  1.494471071826075E+04,  4.480311560326337E+09,  6.656237930833198E+00,
