*******************************************************************************
 Revised: Dec 02, 2013            Adrastea / (Jupiter)                      515

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  10 +- 10       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =   0.05-0.10
                                            V(1,0)              = +12.4 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 128.98 (10^3)   Orbital period      = 0.29826 d
  Eccentricity, e         =  ~ 0            Rotational period   = Synchronous 
  Inclination, i  (deg)   =  ~ 0 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov 10 01:12:44 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Adrastea (515)                  {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.383379019644251E+08, -3.445009202732733E+08,  1.793614758823472E+07,  3.314921811378181E+01, -2.596613410990591E+01, -1.991903979706837E-01,  2.718384573164437E+03,  8.149511929782473E+08, -1.906069946188759E+01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.376854122809587E+08, -3.453360933573375E+08,  1.793735244763274E+07,  4.484590461669145E-01,  1.981990240677371E+01,  9.720437395412533E-01,  2.717592628564638E+03,  8.147137739600739E+08, -8.785801470249607E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.374394565263551E+08, -3.462352873356984E+08,  1.793022285788824E+07, -1.643122816129325E+01, -3.381490982877075E+01, -1.209105558991821E+00,  2.718122343366147E+03,  8.148725784624571E+08,  2.921103505397322E+01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.368948677017637E+08, -3.474206059138163E+08,  1.791708863164721E+07,  3.663251840825890E+01, -1.502005807472465E+01,  2.466117929969869E-01,  2.718160875552875E+03,  8.148841301214286E+08, -2.671744087132709E+01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.362988959417691E+08, -3.481954071023563E+08,  1.791942461026917E+07, -1.030416608902687E+01,  1.602068826840981E+01,  6.727574860929364E-01,  2.717467091880601E+03,  8.146761390089972E+08,  2.480337119954516E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.360592998835183E+08, -3.491761865718852E+08,  1.790901511343810E+07, -6.825850724442322E+00, -4.011688705208717E+01, -1.297552473235088E+00,  2.718144275795967E+03,  8.148791536395028E+08,  2.332720695034617E+01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.354378483619285E+08, -3.503176569817541E+08,  1.789838524273941E+07,  3.597043376021949E+01, -3.567438477717688E+00,  6.486768427971035E-01,  2.717906042255838E+03,  8.148077330209295E+08, -3.091854732267612E+01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.349152327874390E+08, -3.510578892303805E+08,  1.790064842732391E+07, -1.896243009079870E+01,  8.604096038701071E+00,  2.725168723573783E-01,  2.717395976124916E+03,  8.146548190417979E+08,  1.340459898326004E+01,
