*******************************************************************************
 Revised: Sep 29, 2017             Aitne  / (Jupiter)                       531
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:17:53 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Aitne (531)                     {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.493404259531423E+08, -3.581402042578858E+08,  1.556233296595688E+07,  2.945806057302360E+00, -9.680222979859451E+00, -8.023718835433487E-01,  2.770826943067460E+03,  8.306730199548197E+08,  1.501166718004211E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.490843319862857E+08, -3.589751206359943E+08,  1.549319512709524E+07,  2.982338377112093E+00, -9.646612798650345E+00, -7.980252953213558E-01,  2.771254262442086E+03,  8.308011270804901E+08,  1.464257860128695E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.488250705353307E+08, -3.598071507051259E+08,  1.542443687903760E+07,  3.019125797919391E+00, -9.613410761932627E+00, -7.935855007340686E-01,  2.771670929628388E+03,  8.309260407604395E+08,  1.427246443832018E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.485626199795884E+08, -3.606363298441170E+08,  1.535606616279957E+07,  3.056158666690040E+00, -9.580619429575762E+00, -7.890550736417321E-01,  2.772076916826712E+03,  8.310477526605417E+08,  1.390144554857584E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.482969595221971E+08, -3.614626936356622E+08,  1.528809069898376E+07,  3.093427488245976E+00, -9.548241047100488E+00, -7.844365691509099E-01,  2.772472199662329E+03,  8.311662554734362E+08,  1.352963982342337E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.480280691892067E+08, -3.622862778498793E+08,  1.522051798569664E+07,  3.130922715525685E+00, -9.516277681218174E+00, -7.797325762548195E-01,  2.772856757153319E+03,  8.312815429089025E+08,  1.315716464617866E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.477559298299179E+08, -3.631071184219383E+08,  1.515335529761127E+07,  3.168634857236473E+00, -9.484731075221729E+00, -7.749456730493791E-01,  2.773230571673423E+03,  8.313936096827209E+08,  1.278413529124883E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.474805231095029E+08, -3.639252514244930E+08,  1.508660968729125E+07,  3.206554512918693E+00, -9.453602685347734E+00, -7.700784265967848E-01,  2.773593628883959E+03,  8.315024514962618E+08,  1.241066475425544E+00,
