*******************************************************************************
 Revised: Jun 17, 2016           Amalthea / (Jupiter)                       505

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 131 x 73 x 67   Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +7.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 181.3 (10^3)    Orbital period      = 0.498179 d
  Eccentricity, e         = 0.003           Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.40 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 11:49:27 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Amalthea (505)                  {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.381157782601147E+08, -3.444678609086987E+08,  1.793957287767284E+07,  1.722423511517166E+01,  1.253336734990658E+01,  8.627644275838113E-01,  2.717666946579850E+03,  8.147360539405279E+08, -2.088448674924175E+01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.376475627982340E+08, -3.454295401268089E+08,  1.793347309078716E+07,  1.613538421982332E+01,  1.305835625214100E+01,  8.787285117224224E-01,  2.717610172510243E+03,  8.147190335026495E+08, -2.012621469629929E+01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.371782360121000E+08, -3.463904388447206E+08,  1.792735122736585E+07,  1.502502741948363E+01,  1.353597578910831E+01,  8.932757908592093E-01,  2.717553618720922E+03,  8.147020791031400E+08, -1.933079850661545E+01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.367080141787906E+08, -3.473504831171088E+08,  1.792120734069431E+07,  1.389212753335302E+01,  1.395750008240421E+01,  9.059567229224328E-01,  2.717497829633312E+03,  8.146853539554361E+08, -1.849345906750662E+01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.362368303497701E+08, -3.483097646740830E+08,  1.791503875395757E+07,  1.274168212157069E+01,  1.432769258645926E+01,  9.168902212735661E-01,  2.717442729197289E+03,  8.146688352602836E+08, -1.762058906204284E+01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.357647341795278E+08, -3.492684303747763E+08,  1.790883950144860E+07,  1.157745459645598E+01,  1.464147135391205E+01,  9.258384578829126E-01,  2.717388673213312E+03,  8.146526296839775E+08, -1.671326567095275E+01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.352915767164903E+08, -3.502263588923701E+08,  1.790261646159904E+07,  1.039945947440731E+01,  1.490330323927892E+01,  9.328199673197286E-01,  2.717335037843719E+03,  8.146365502046914E+08, -1.577324840331117E+01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.348174117102983E+08, -3.511836317647184E+08,  1.789636583642785E+07,  9.212319894409728E+00,  1.511061799864544E+01,  9.377024548982211E-01,  2.717282099307687E+03,  8.146206796308516E+08, -1.480344607372006E+01,
