*******************************************************************************
 Revised: Sep 29, 2017              Aoede / (Jupiter)                      541

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:27:34 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Aoede (541)                     {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.495135758600069E+08, -3.385590417198077E+08,  2.418832951021676E+07,  7.289023643594988E+00, -8.401199579255520E+00, -1.069927976703212E+00,  2.744520903257597E+03,  8.227866676199752E+08, -3.214441812593492E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.488812494948996E+08, -3.392856027394888E+08,  2.409481543682913E+07,  7.348158179395639E+00, -8.417554248258634E+00, -1.094751701435002E+00,  2.743589332575607E+03,  8.225073897554206E+08, -3.250208795266098E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.482438150857544E+08, -3.400136319423919E+08,  2.399915633594181E+07,  7.407259296635365E+00, -8.435188303934238E+00, -1.119578129958637E+00,  2.742647555377221E+03,  8.222250520542281E+08, -3.285263405594004E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.476012771428815E+08, -3.407432406135002E+08,  2.390135284846403E+07,  7.466289036646504E+00, -8.454118653217543E+00, -1.144386736293326E+00,  2.741695783931318E+03,  8.219397181530067E+08, -3.319557096227062E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.469536435332710E+08, -3.414745414115000E+08,  2.380140744153531E+07,  7.525207869780916E+00, -8.474360261219108E+00, -1.169155964063022E+00,  2.740734244623139E+03,  8.216514559203441E+08, -3.353040623654563E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.463009255879202E+08, -3.422076482142547E+08,  2.369932446860966E+07,  7.583975091205448E+00, -8.495926373744533E+00, -1.193863678380747E+00,  2.739763178081858E+03,  8.213603374950522E+08, -3.385664345088691E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.456431382168996E+08, -3.429426759619285E+08,  2.359511022999735E+07,  7.642548539833905E+00, -8.518828281699099E+00, -1.218486917701751E+00,  2.738782839323947E+03,  8.210664393291450E+08, -3.417378069502193E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.449803000319355E+08, -3.436797404763290E+08,  2.348877304600781E+07,  7.700884742985322E+00, -8.543075079706556E+00, -1.243001916377799E+00,  2.737793497882618E+03,  8.207698422266479E+08, -3.448131308417710E+00,
