*******************************************************************************
 Revised: Sep 29, 2017              Arche / (Jupiter)                       543

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:29:35 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Arche (543)                     {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.452369630365828E+08, -3.660773732075136E+08,  2.007668223736496E+07,  3.479233609005747E+00, -9.906505447887607E+00, -6.117981083841961E-01,  2.770377524810446E+03,  8.305382877508794E+08,  1.229818230426107E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.449354365656884E+08, -3.669321213723031E+08,  2.002372161660475E+07,  3.500577641528559E+00, -9.879319718278756E+00, -6.141375050357785E-01,  2.770729100911180E+03,  8.306436876142925E+08,  1.209950915019313E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.446320576793219E+08, -3.677845176044140E+08,  1.997056009533483E+07,  3.522114059046665E+00, -9.852062785367542E+00, -6.164484706338533E-01,  2.771074914438901E+03,  8.307473599017779E+08,  1.189827793908381E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.443268096363262E+08, -3.686345558073254E+08,  1.991720015888515E+07,  3.543845616554035E+00, -9.824735913165183E+00, -6.187303385512060E-01,  2.771414891450921E+03,  8.308492824458747E+08,  1.169447338033391E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.440196754561822E+08, -3.694822299924126E+08,  1.986364435014176E+07,  3.565775112924616E+00, -9.797340371489893E+00, -6.209824380564615E-01,  2.771748957559855E+03,  8.309494329458066E+08,  1.148807994854114E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.437106379143397E+08, -3.703275342853093E+08,  1.980989527078944E+07,  3.587905389736139E+00, -9.769877532430552E+00, -6.232040787785977E-01,  2.772077037933008E+03,  8.310477889672956E+08,  1.127908232942116E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.433996795401952E+08, -3.711704629329468E+08,  1.975595558281726E+07,  3.610239301000142E+00, -9.742348824302182E+00, -6.253945563662366E-01,  2.772399057300837E+03,  8.311443279451008E+08,  1.106746548990489E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.430867826154295E+08, -3.720110103075528E+08,  1.970182800954252E+07,  3.632779730953313E+00, -9.714755723257138E+00, -6.275531551928983E-01,  2.772714939962060E+03,  8.312390271845483E+08,  1.085321448393177E+00,
