*******************************************************************************
 Revised: Jun 17, 2016             Ariel  / (Uranus)                        701

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 581.1x577.9x577.7 Density (g cm^-3)   = 1.67 +- 0.15
  Mass (10^20 kg )      =   13.53 +- 1.20   Geometric Albedo    =  0.34 
                                            V(1,0)              = +1.45

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 191.2 (10^3)    Orbital period      = 2.520 d
  Eccentricity, e         =   0.0034        Rotational period   = Synchronous
  Inclination, i  (deg)   =   0.31
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Nov 11 07:06:27 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Ariel (701)                     {source: ura111}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697571014323562E+09,  1.268123487919232E+09, -3.039067600317758E+07, -7.432424635695053E+00,  6.391308245128401E+00, -3.093128968294601E+00,  9.943315812007702E+03,  2.980931087952055E+09, -3.975443419943723E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697036873586151E+09,  1.268719008889767E+09, -3.017416455453408E+07, -1.180863569105528E+00,  6.178497628812778E+00,  5.263671854280117E+00,  9.942541522694963E+03,  2.980698961855785E+09,  1.508075104643303E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.697135815230838E+09,  1.269147417291635E+09, -3.016226228337103E+07, -1.288181800958335E+00,  4.767737313268405E+00, -5.084420610419865E+00,  9.943448066903235E+03,  2.980970736972269E+09,  9.157815002066970E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696596752449122E+09,  1.269683857107365E+09, -3.037903011268240E+07, -7.365146223042478E+00,  7.224688145206894E+00,  3.046880377373831E+00,  9.942590609109977E+03,  2.980713677592797E+09, -3.616691139286218E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696440881246823E+09,  1.270215098695695E+09, -3.002677652209055E+07,  2.429347813282125E+00,  4.717119300306690E+00,  4.413571865284494E-01,  9.942863325266049E+03,  2.980795435839562E+09,  4.203272801565032E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696311840567467E+09,  1.270646422502580E+09, -3.035288636967260E+07, -7.111400888166990E+00,  6.256541424491459E+00, -3.529137669493965E+00,  9.943098176231399E+03,  2.980865842387728E+09, -3.729648871398695E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695756605677846E+09,  1.271241988776981E+09, -3.016688726485705E+07, -1.711802075748183E+00,  6.310336934048258E+00,  5.404890789824030E+00,  9.942263769264608E+03,  2.980615693472181E+09,  1.088471350584039E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695853612223856E+09,  1.271675508663111E+09, -3.011862598264384E+07, -7.838708066804037E-01,  4.682617776922595E+00, -4.872133475911905E+00,  9.943171616624162E+03,  2.980887859263591E+09,  1.337960886767665E+00,
