*******************************************************************************
 Revised: Sep 29, 2017              Autonoe / (Jupiter)                     528

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =                 Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =   
                                            V(1,0)              = 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =                 Orbital period      =
  Eccentricity, e         =                 Rotational period   = 
  Inclination, i  (deg)   =      
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:15:13 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Autonoe (528)                   {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.220607723862067E+08, -3.561259501664373E+08,  2.219759777833340E+07,  3.293016529319488E+00, -1.255509112740780E+01,  8.484911381099471E-01,  2.686568760373240E+03,  8.054130522583066E+08,  2.622592417161556E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.217764666834083E+08, -3.572097208101206E+08,  2.227064942849779E+07,  3.288139188406226E+00, -1.253214292595447E+01,  8.424940913658534E-01,  2.687326241776144E+03,  8.056401394699724E+08,  2.634010617087820E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.214925809761950E+08, -3.582914959020513E+08,  2.234317637925285E+07,  3.283295140542264E+00, -1.250889744069736E+01,  8.363450357369739E-01,  2.688086974370456E+03,  8.058682013643020E+08,  2.645153502886647E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.212091121921107E+08, -3.593712496667259E+08,  2.241516542603357E+07,  3.278488977471223E+00, -1.248535261278422E+01,  8.300423468453602E-01,  2.688850877921028E+03,  8.060972138874028E+08,  2.656014865009265E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.209260568533529E+08, -3.604489561559104E+08,  2.248660322627917E+07,  3.273725438547784E+00, -1.246150647817293E+01,  8.235844310335962E-01,  2.689617870387299E+03,  8.063271524441338E+08,  2.666588419305084E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.206434110707502E+08, -3.615245892523099E+08,  2.255747629872687E+07,  3.269009320982261E+00, -1.243735708672219E+01,  8.169696762266598E-01,  2.690387867915031E+03,  8.065579918956263E+08,  2.676867850879181E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.203611705348374E+08, -3.625981226717591E+08,  2.262777102346571E+07,  3.264345563526025E+00, -1.241290253316410E+01,  8.101964892421294E-01,  2.691160784817449E+03,  8.067897065536318E+08,  2.686846754854455E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.200793305036335E+08, -3.636695299683120E+08,  2.269747364384505E+07,  3.259739230148588E+00, -1.238814097643193E+01,  8.032632943101445E-01,  2.691936533551320E+03,  8.070222701733497E+08,  2.696518660634474E+00,
