*******************************************************************************
 Revised: Sep 08, 2007            Belinda / (Uranus)                        714

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 34 +- 4           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +9.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  75.255 (10^3)  Orbital period      =  0.623525 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.0
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:45:08 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Belinda (714)                   {source: ura086x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697541554255574E+09,  1.268150764934042E+09, -3.023959153359711E+07, -3.463768463688071E+00,  4.755688817562384E+00, -8.632453100549135E+00,  9.943260467197042E+03,  2.980914495995229E+09, -1.023741909318388E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697157800277515E+09,  1.268690944313977E+09, -3.018506721371824E+07,  2.657906864866377E+00,  5.548516219458117E+00,  6.808769973782457E+00,  9.942867029156798E+03,  2.980796546238074E+09,  4.697611231924546E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696973739298781E+09,  1.269163845219313E+09, -3.029946409775007E+07, -1.134273853948467E+01,  7.404985994374188E+00, -1.973707096054549E+00,  9.942986891385790E+03,  2.980832480030325E+09, -7.089672213581051E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696735457640837E+09,  1.269684603487785E+09, -3.015356169468969E+07,  4.788211747732103E+00,  3.658400088119669E+00, -3.457984348848981E+00,  9.943002604854320E+03,  2.980837190809680E+09,  5.925122399486134E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696383300291976E+09,  1.270196395029041E+09, -3.025252063309306E+07, -6.862402847988678E+00,  7.756424155151285E+00,  7.682415491776761E+00,  9.942670606537300E+03,  2.980737660218168E+09, -2.980436349950424E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696266016451884E+09,  1.270674418805678E+09, -3.022250597382116E+07, -4.479584540446519E+00,  4.987632922270647E+00, -8.539139658193378E+00,  9.942995304218428E+03,  2.980835002134100E+09, -1.839222833954490E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695888886388665E+09,  1.271214918765937E+09, -3.015261890118051E+07,  3.381849981615132E+00,  5.289046270048532E+00,  6.111367855486291E+00,  9.942623851212718E+03,  2.980723643324486E+09,  5.252527383593875E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695689633511422E+09,  1.271689692541982E+09, -3.027507026545995E+07, -1.149764091296083E+01,  7.575419221580164E+00, -9.579837136878402E-01,  9.942702418821513E+03,  2.980747197301046E+09, -7.156422347123965E+00,
