*******************************************************************************
JPL/HORIZONS              101955 Bennu (1999 RQ36)         2017-Nov-12 06:35:54
Rec #:101955 (+COV)   Soln.date: 2017-Sep-02_06:19:55    # obs: 515 (1999-2017)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2455562.5 ! 2011-Jan-01.00 (TDB)         Residual RMS= .23179        
   EC= .2037451095574896   QR= .896894363022636    TP= 2455439.1419458734      
   OM= 2.060867570687039   W=  66.22306847249314   IN= 6.034939391321328       
   A= 1.126391026024589    MA= 101.7039478619822   ADIST= 1.355887689026542    
   PER= 1.19548            N= .824461327           ANGMOM= .017873901          
   DAN= .99768             DDN= 1.17626            L= 68.1662335               
   B= 5.5210403            MOID= .0032228          TP= 2010-Aug-30.6419458734  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 5.2E-9              RAD= .246               ROTPER= 4.297               
   H= 20.19                G= -.080                B-V= .640                   
                           ALBEDO= .046            STYP= B                     
 
Asteroid non-gravitational force model (AMRAT= m^2/kg;A1,A2,A3=au/d^2;R0=au):  
   AMRAT=  3.070000048E-6                                                      
   A1= 0.                  A2= -4.540265763353E-14 A3= 0.                      
 Non-standard or simulated/proxy model:                                        
   ALN=  1.            NK=  0.       NM=  2.25     NN=  0.       R0=  1.       
 
ASTEROID comments: 
1: soln ref.= JPL#95, PHA  OCC=0       radar(22 delay, 7 Dop.)
2: source=ORB; Nongravitational accels. using nonstandard g(r) = (1 AU/ r)^2.25
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 06:35:54 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 101955 Bennu (1999 RQ36)        {source: JPL#95}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455562.5 ! 2011-Jan-01.00 (TDB)         Residual RMS= .23179        
   EC= .2037451095574896   QR= .896894363022636    TP= 2455439.1419458734      
   OM= 2.060867570687039   W=  66.22306847249314   IN= 6.034939391321328       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.190961321487892E+00  Y=-2.079065425078664E-01  Z=-1.123139125312784E-01
  VX= 8.799338644340220E-05 VY=-1.305063202108777E-02 VZ=-7.375163435398828E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 5.2E-9              RAD= .246               ROTPER= 4.297               
   H= 20.19                G= -.080                B-V= .640                   
                           ALBEDO= .046            STYP= B                     
Asteroid non-gravitational force model (AMRAT= m^2/kg;A1,A2,A3=au/d^2;R0=au):  
   AMRAT=  3.070000048E-6                                                      
   A1= 0.                  A2= -4.540265763353E-14 A3= 0.                      
 Non-standard or simulated/proxy model:                                        
   ALN=  1.            NK=  0.       NM=  2.25     NN=  0.       R0=  1.       
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  1.198915011086199E+08, -1.293586989185039E+08, -1.421723943354058E+07,  1.573976727936093E+01,  2.138561400758923E+01,  2.199531701933205E+00,  5.902272682701339E+02,  1.769456835333288E+08, -5.146337158592963E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  1.212407175603853E+08, -1.274994295357426E+08, -1.402593919985855E+07,  1.549131034126251E+01,  2.165273229024775E+01,  2.228686032184791E+00,  5.887396178532166E+02,  1.764996971581964E+08, -5.177305472288850E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  1.225682635095783E+08, -1.256171591321046E+08, -1.383212750808731E+07,  1.523813029349040E+01,  2.191803268562013E+01,  2.257666018686423E+00,  5.872431434933616E+02,  1.760510654315216E+08, -5.207569477187551E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  1.238737295952397E+08, -1.237120480040992E+08, -1.363581975805341E+07,  1.498019749024131E+01,  2.218144008567750E+01,  2.286463837844598E+00,  5.857380504956060E+02,  1.755998499022058E+08, -5.237112997410073E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  1.251567039172801E+08, -1.217842630198084E+08, -1.343703203431627E+07,  1.471748281002695E+01,  2.244287747264173E+01,  2.315071462279692E+00,  5.842245488705315E+02,  1.751461135298378E+08, -5.265919553679338E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  1.264167720841161E+08, -1.198339777854589E+08, -1.323578112395012E+07,  1.444995771015688E+01,  2.270226588269519E+01,  2.343480656783714E+00,  5.827028534220057E+02,  1.746899207109968E+08, -5.293972361277983E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  1.276535172651242E+08, -1.178613728151169E+08, -1.303208453467406E+07,  1.417759428377462E+01,  2.295952436999923E+01,  2.371682974300784E+00,  5.811731838354716E+02,  1.742313373057219E+08, -5.321254328273917E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  1.288665202481347E+08, -1.158666357034748E+08, -1.282596051332844E+07,  1.390036531952922E+01,  2.321456997110838E+01,  2.399669751939214E+00,  5.796357647667077E+02,  1.737704306641211E+08, -5.347748054036049E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  1.300553595021991E+08, -1.138499613016930E+08, -1.261742806469375E+07,  1.361824436396498E+01,  2.346731766987461E+01,  2.427432107024893E+00,  5.780908259309715E+02,  1.733072696530961E+08, -5.373435828063530E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  1.312196112458680E+08, -1.118115518962483E+08, -1.240650697064856E+07,  1.333120578671236E+01,  2.371768036294205E+01,  2.454960933206133E+00,  5.765386021924327E+02,  1.728419246831536E+08, -5.398299629152977E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  1.323588495212258E+08, -1.097516173907347E+08, -1.219321780966137E+07,  1.303922484856216E+01,  2.396556882594009E+01,  2.482246896621220E+00,  5.749793336537927E+02,  1.723744677352726E+08, -5.422321124929732E+00,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000,  1.334726462739334E+08, -1.076703754905504E+08, -1.197758197661027E+07,  1.274227777250555E+01,  2.421089168049026E+01,  2.509280432140415E+00,  5.734132657459867E+02,  1.719049723877966E+08, -5.445481671769906E+00,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000,  1.345605714395416E+08, -1.055680518903967E+08, -1.175962170292390E+07,  1.244034181782064E+01,  2.445355536214977E+01,  2.536051739695152E+00,  5.718406493178454E+02,  1.714335138433129E+08, -5.467762315141774E+00,
