*******************************************************************************
 Revised: Sep 08, 2007             Bianca  / (Uranus)                       708

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 22 +- 3           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              = +10.3

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  59.165 (10^3)  Orbital period      =  0.434577 d
  Eccentricity, e         =   0.001         Rotational period   = 
  Inclination, i  (deg)   =   0.2
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:37:53 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Bianca (708)                    {source: ura086x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697513467496566E+09,  1.268162697305666E+09, -3.019959915072411E+07,  3.064910839962097E+00,  3.485246032584936E+00, -7.454811755280038E+00,  9.943191266656317E+03,  2.980893750195030E+09,  4.331798006164924E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697233121158420E+09,  1.268660274971771E+09, -3.028663959863991E+07, -1.204803986216913E+01,  7.305540856189168E+00, -3.551992976251662E+00,  9.943054262190410E+03,  2.980852677289439E+09, -7.756352715741882E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696900771764474E+09,  1.269189245467649E+09, -3.023034426475060E+07, -3.220325460768456E+00,  7.282608673890650E+00,  9.845346329800060E+00,  9.942800410710652E+03,  2.980776574530355E+09,  8.738735423592654E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696720405784796E+09,  1.269686493962091E+09, -3.016519663930732E+07,  6.323590274556497E+00,  3.475298662032665E+00, -2.495004625658732E+00,  9.942960261239674E+03,  2.980824496513364E+09,  7.226442561523210E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696495947886585E+09,  1.270172210603661E+09, -3.024899750007033E+07, -8.539953988386685E+00,  5.900061503621648E+00, -8.116311724925191E+00,  9.942976019670312E+03,  2.980829220772019E+09, -5.128890565905434E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696147043344176E+09,  1.270696828389474E+09, -3.024757906516314E+07, -8.694279311446557E+00,  8.174311167687117E+00,  7.771705280266998E+00,  9.942669054398262E+03,  2.980737194898590E+09, -4.458313023099152E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695920468776413E+09,  1.271208303149354E+09, -3.015105934670383E+07,  6.250932706487458E+00,  4.316162467899995E+00,  3.377213211881425E+00,  9.942709668172616E+03,  2.980749370601833E+09,  7.460181879978681E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695740970316435E+09,  1.271689023441898E+09, -3.019968697850376E+07, -3.021204550966437E+00,  4.470765452090440E+00, -9.751907175049261E+00,  9.942853781023790E+03,  2.980792574547716E+09, -7.261347234597608E-01,
