*******************************************************************************
 Revised: Jan 08, 2014           Caliban / (Uranus)                         716

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = ~30               Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  71 (10^5)      Orbital period      =  580 days
  Eccentricity, e         =   0.08          Rotational period   = 
  Inclination, i  (deg)   = 137.6 (retro)
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:36:12 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Caliban (716)                   {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.691557072454512E+09,  1.270841567752094E+09, -2.840039897347093E+07, -2.533272508628832E+00,  6.488972284417112E+00,  6.298048610805056E-01,  9.928967912951161E+03,  2.976629696026759E+09,  4.737308999255571E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.691338563096522E+09,  1.271402001177219E+09, -2.834611391358167E+07, -2.524827244898944E+00,  6.484009914797181E+00,  6.267813200344605E-01,  9.929105447102800E+03,  2.976670927728137E+09,  4.806884845575605E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.691120780082228E+09,  1.271962002303804E+09, -2.829209329762501E+07, -2.516459215188866E+00,  6.478965546665909E+00,  6.236836037688525E-01,  9.929244970697990E+03,  2.976712755849688E+09,  4.875367923265001E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.690903716682476E+09,  1.272521564092130E+09, -2.823834350049520E+07, -2.508169714492910E+00,  6.473840222187167E+00,  6.205124973907736E-01,  9.929386452132154E+03,  2.976755170916597E+09,  4.942750575352289E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.690687366057368E+09,  1.273080679592940E+09, -2.818487082882112E+07, -2.499960011373273E+00,  6.468634993230406E+00,  6.172687960255976E-01,  9.929529859584325E+03,  2.976798163389180E+09,  5.009025442253864E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.690471721258542E+09,  1.273639341948276E+09, -2.813168152009922E+07, -2.491831347960030E+00,  6.463350921370643E+00,  6.139533048169832E-01,  9.929675161025732E+03,  2.976841723665450E+09,  5.074185461711527E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.690256775231460E+09,  1.274197544392321E+09, -2.807878174182916E+07, -2.483784939951140E+00,  6.457989077888475E+00,  6.105668389268684E-01,  9.929822324228338E+03,  2.976885842083686E+09,  5.138223868728649E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.690042520817687E+09,  1.274755280252235E+09, -2.802617759064788E+07, -2.475821976612441E+00,  6.452550543770071E+00,  6.071102235354759E-01,  9.929971316773426E+03,  2.976930508925002E+09,  5.201134195504584E-01,
