*******************************************************************************
 Revised: Sep 29, 2017             Callirrhoe / (Jupiter)                   517

 Discovery announcement: IAUC 7460
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov 10 01:18:29 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Callirrhoe (517)                {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.206580058694137E+08, -3.299325689440308E+08,  5.643394673732877E+06,  6.070707470856100E+00, -1.304455138759691E+01,  8.379822279854539E-01,  2.643872259004446E+03,  7.926129631649555E+08, -8.371365189940151E-02,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.201332634026855E+08, -3.310596832587618E+08,  5.716125983767763E+06,  6.076082358387231E+00, -1.304605158224853E+01,  8.456169507755567E-01,  2.643850786884729E+03,  7.926065259854070E+08, -6.527029254932805E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.196080634516621E+08, -3.321869255779058E+08,  5.789517977134064E+06,  6.081297040603339E+00, -1.304751429383001E+01,  8.532757855470940E-01,  2.643834651643367E+03,  7.926016887617385E+08, -4.667750773991194E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.190824199489560E+08, -3.333142926216762E+08,  5.863572728321671E+06,  6.086349399411427E+00, -1.304893856398577E+01,  8.609585363815135E-01,  2.643823896459587E+03,  7.925984644387569E+08, -2.793449125157047E-02,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.185563470125856E+08, -3.344417810258653E+08,  5.938292295149833E+06,  6.091237273835445E+00, -1.305032339198160E+01,  8.686649988147925E-01,  2.643818564747412E+03,  7.925968660316584E+08, -9.040433710779635E-03,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.180298589478024E+08, -3.355693873379372E+08,  6.013678716195986E+06,  6.095958488464777E+00, -1.305166773738904E+01,  8.763949361476522E-01,  2.643818700150418E+03,  7.925969066244589E+08,  1.000545202504505E-02,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.175029702491838E+08, -3.366971080142028E+08,  6.089734009150892E+06,  6.100510833660442E+00, -1.305297052986097E+01,  8.841481033603431E-01,  2.643824346538706E+03,  7.925985993690823E+08,  2.920395267251110E-02,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.169756956038027E+08, -3.378249394168043E+08,  6.166460170012712E+06,  6.104892065092960E+00, -1.305423065781043E+01,  8.919242401989109E-01,  2.643835548008732E+03,  7.926019574853147E+08,  4.855584961661733E-02,
