*******************************************************************************
 Revised: Sep 29, 2017              Carpo / (Jupiter)                       546

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:32:20 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Carpo (546)                     {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.544928598608449E+08, -3.483065694633030E+08,  1.891111451898639E+07,  4.437064943198821E+00, -1.295800653923386E+01, -2.062951199906729E+00,  2.772667290621742E+03,  8.312247422716923E+08,  1.355364226663577E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.541072120471958E+08, -3.494254408643113E+08,  1.873276734727696E+07,  4.489879678717990E+00, -1.294176180020994E+01, -2.065381969994915E+00,  2.773052846316735E+03,  8.313403289611902E+08,  1.320325524323197E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.537170237893775E+08, -3.505429003995804E+08,  1.855422900891189E+07,  4.542168851009531E+00, -1.292532599182396E+01, -2.067378889417301E+00,  2.773428365883916E+03,  8.314529068952626E+08,  1.285716417159101E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.533223402209177E+08, -3.516589319562748E+08,  1.837553633967480E+07,  4.593938881486455E+00, -1.290870824736922E+01, -2.068956884563119E+00,  2.773793972514406E+03,  8.315625130056782E+08,  1.251532575696037E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.529232059160970E+08, -3.527735201994383E+08,  1.819672490982443E+07,  4.645196222092483E+00, -1.289191738531114E+01, -2.070130328665751E+00,  2.774149788136260E+03,  8.316691838455485E+08,  1.217769606044709E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.525196648941697E+08, -3.538866505350955E+08,  1.801782907068641E+07,  4.695947303175518E+00, -1.287496174082385E+01, -2.070913068221421E+00,  2.774495933402431E+03,  8.317729555857190E+08,  1.184423021910025E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.521117606137544E+08, -3.549983090714304E+08,  1.783888199925677E+07,  4.746198675441877E+00, -1.285784925160298E+01, -2.071318443609207E+00,  2.774832527645093E+03,  8.318738640010754E+08,  1.151488148334816E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.516995359648443E+08, -3.561084825880053E+08,  1.765991574108708E+07,  4.795956927743655E+00, -1.284058752229913E+01, -2.071359308312643E+00,  2.775159688833101E+03,  8.319719444577903E+08,  1.118960220184499E+00,
