 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:17 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
JPL/HORIZONS                       1 Ceres                 2017-Jul-31 11:18:17
Rec #:     1 (+COV)   Soln.date: 2017-Apr-04_16:23:28   # obs: 5993 (1950-2017)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2449731.5 ! 1995-Jan-14.00 (TDB)         Residual RMS= .3289         
   EC= .07610292126891821  QR= 2.556624726195814   TP= 2449823.0922807939      
   OM= 80.65851514365535   W=  71.44921526124109   IN= 10.60069567603618       
   A= 2.767218108003098    MA= 340.389084821267    ADIST= 2.977811489810382    
   PER= 4.60334            N= .214110998           ANGMOM= .028532632          
   DAN= 2.68615            DDN= 2.81946            L= 151.8082012              
   B= 10.0440306           MOID= 1.59241998        TP= 1995-Apr-15.5922807939  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 62.6284             RAD= 469.7              ROTPER= 9.07417             
   H= 3.34                 G= .120                 B-V= .713                   
                           ALBEDO= .090            STYP= C                     
 
ASTEROID comments: 
1: soln ref.= JPL#34, OCC=0           radar(405 delay, 0 Dop.
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:17 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: 1 Ceres                         {source: JPL#34}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449731.5 ! 1995-Jan-14.00 (TDB)         Residual RMS= .3289         
   EC= .07610292126891821  QR= 2.556624726195814   TP= 2449823.0922807939      
   OM= 80.65851514365535   W=  71.44921526124109   IN= 10.60069567603618       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.595314070299652E+00  Y= 1.679592434318194E+00  Z= 1.115015709161572E+00
  VX=-8.276811304306792E-03 VY=-7.202858709771250E-03 VZ=-1.698003095770422E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 62.6284             RAD= 469.7              ROTPER= 9.07417             
   H= 3.34                 G= .120                 B-V= .713                   
                           ALBEDO= .090            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  5.081937556365657E+07,  3.990819009997663E+08,  3.224649704480827E+06, -1.812456355793253E+01,  9.858734194043287E-01,  3.370740050985621E+00,  1.341986729518538E+03,  4.023175002457435E+08, -1.284471363517556E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.925303102422690E+07,  3.991640306865761E+08,  3.515856059721678E+06, -1.813336685298564E+01,  9.152646178392755E-01,  3.370139117133339E+00,  1.341616792098583E+03,  4.022065957973091E+08, -1.282757785516726E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.768593756272694E+07,  3.992400566468347E+08,  3.807008242119938E+06, -1.814189961808922E+01,  8.445836326116274E-01,  3.369486037423089E+00,  1.341247351516962E+03,  4.020958402972600E+08, -1.281023483440246E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.611811857851708E+07,  3.993099726905151E+08,  4.098101743026584E+06, -1.815016126193501E+01,  7.738315442042794E-01,  3.368780736846562E+00,  1.340878413747001E+03,  4.019852355363543E+08, -1.279268452778296E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.454959752187685E+07,  3.993737727211568E+08,  4.389132047350287E+06, -1.815815119715441E+01,  7.030094380282124E-01,  3.368023141276675E+00,  1.340509984763264E+03,  4.018747833057214E+08, -1.277492689444403E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.298039789366271E+07,  3.994314507362915E+08,  4.680094633633226E+06, -1.816586884035856E+01,  6.321184044138743E-01,  3.367213177474584E+00,  1.340142070541432E+03,  4.017644853968253E+08, -1.275696189776779E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.141054324496263E+07,  3.994830008278675E+08,  4.970984974128395E+06, -1.817331361217960E+01,  5.611595385997877E-01,  3.366350773097055E+00,  1.339774677058180E+03,  4.016543436014279E+08, -1.273878950542181E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  3.984005717674669E+07,  3.995284171826735E+08,  5.261798534877479E+06, -1.818048493731093E+01,  4.901339407231052E-01,  3.365435856703498E+00,  1.339407810291052E+03,  4.015443597115523E+08, -1.272040968937358E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  3.826896333951470E+07,  3.995676940827612E+08,  5.552530775788546E+06, -1.818738224454855E+01,  4.190427158083989E-01,  3.364468357763270E+00,  1.339041476218340E+03,  4.014345355194446E+08, -1.270182242592040E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  3.669728543293955E+07,  3.996008259058671E+08,  5.843177150715798E+06, -1.819400496682991E+01,  3.478869737581225E-01,  3.363448206662410E+00,  1.338675680818952E+03,  4.013248728175372E+08, -1.268302769569607E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  3.512504720550814E+07,  3.996278071258336E+08,  6.133733107538462E+06, -1.820035254127778E+01,  2.766678293390863E-01,  3.362375334711459E+00,  1.338310430072296E+03,  4.012153733984108E+08, -1.266402548371918E+00,
