*******************************************************************************
 Revised: Sep 29, 2017              Chaldene / (Jupiter)                    521

 Recently discovered Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:09:49 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Chaldene (521)                  {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.216118083393403E+08, -3.222371811815656E+08,  2.060588905542806E+07,  6.676694952714093E+00, -1.256138102683338E+01, -5.566683472303788E-01,  2.637024083015735E+03,  7.905599316524831E+08, -9.888036562813027E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.210345861928844E+08, -3.233226459530081E+08,  2.055771418172882E+07,  6.684913567218622E+00, -1.256510966295870E+01, -5.584877598954927E-01,  2.636741418410415E+03,  7.904751909356649E+08, -9.727700822449611E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.204566579137311E+08, -3.244084306289617E+08,  2.050938289242789E+07,  6.693040554200809E+00, -1.256878613811687E+01, -5.602890512681160E-01,  2.636463389285605E+03,  7.903918399009424E+08, -9.566351618213731E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.198780314355984E+08, -3.254945306817067E+08,  2.046089676016439E+07,  6.701075510281619E+00, -1.257240997472878E+01, -5.620720614878589E-01,  2.636190024790283E+03,  7.903098872869598E+08, -9.403992952102550E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.192987147281482E+08, -3.265809415428460E+08,  2.041225737129858E+07,  6.709018015764703E+00, -1.257598069410514E+01, -5.638366307145182E-01,  2.635921353961069E+03,  7.902293417986768E+08, -9.240628760777853E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.187187157968060E+08, -3.276676586013741E+08,  2.036346632620142E+07,  6.716867662444540E+00, -1.257949779309379E+01, -5.655825949207216E-01,  2.635657405716768E+03,  7.901502121057330E+08, -9.076263265185660E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.181380426821623E+08, -3.287546772027594E+08,  2.031452523946871E+07,  6.724624042034561E+00, -1.258296076922856E+01, -5.673097892200349E-01,  2.635398208852992E+03,  7.900725068408358E+08, -8.910900763072979E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.175567034603615E+08, -3.298419926489449E+08,  2.026543573997508E+07,  6.732286740551653E+00, -1.258636911434447E+01, -5.690180476102062E-01,  2.635143792041020E+03,  7.899962345994182E+08, -8.744545604557883E-01,
