*******************************************************************************
 Revised: Nov 05, 2015          Charon / (Pluto)                            901 

 Fit to all available observations including New Horizons encounter tracking.

 SATELLITE GENERAL PHYSICAL PROPERTIES (PLU042, IAU2009, and derived values):
  GM (km^3/s^2)           = 102.271      Density (g cm^-3)      = 1.65
  Radius (km)             = 605          Geometric Albedo       = 0.372 +- .012
  Mass (10^21 kg )        =   1.53       Hill Sphere radius, km = 664
  Surface gravity (cm/s^2)=  27.9        Escape velocity, km/s  = 0.581

 SATELLITE GENERAL ORBITAL DATA:
  Semi-major axis, a (km) =  1959        Orbital period, days   = 6.38723 
  Eccentricity, e         =  0.0002 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 10:06:08 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Charon (901)                    {source: plu055l_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  1.532648633240378E+09, -4.748911055675917E+09,  6.481413180528474E+07,  5.141306734650573E+00,  4.220987504542970E-01, -1.514429741749205E+00,  1.664660930165059E+04,  4.990527919907495E+09,  1.157623193605510E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  1.533094809506011E+09, -4.748868908010386E+09,  6.468891503869867E+07,  5.207048593422138E+00,  5.614444986709212E-01, -1.406650960416342E+00,  1.664692723269776E+04,  4.990623233237599E+09,  1.047099305922092E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  1.533550540400308E+09, -4.748814705925711E+09,  6.456628111019588E+07,  5.344335168226459E+00,  6.783517306354360E-01, -1.459533474471396E+00,  1.664721694678439E+04,  4.990710087335746E+09,  9.778577951990689E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  1.534016793195848E+09, -4.748755447368389E+09,  6.443332891196609E+07,  5.430630791847195E+00,  6.689661509742260E-01, -1.625941887848147E+00,  1.664750110145393E+04,  4.990795274762580E+09,  1.011693939015536E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  1.534485139893068E+09, -4.748702608597570E+09,  6.428635592031312E+07,  5.388792733591350E+00,  5.419849509693361E-01, -1.757480090951774E+00,  1.664780733066342E+04,  4.990887079970006E+09,  1.118501569174897E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  1.534945268622916E+09, -4.748661909130895E+09,  6.413416912004590E+07,  5.255974585393889E+00,  4.110844095586264E-01, -1.736723785941330E+00,  1.664814358951673E+04,  4.990987887838165E+09,  1.202998132368208E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  1.535394189347987E+09, -4.748628200420225E+09,  6.399023132583499E+07,  5.150604817470982E+00,  3.935016048083874E-01, -1.582201881700632E+00,  1.664849103730384E+04,  4.991092050064287E+09,  1.189793810029669E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  1.535838903987255E+09, -4.748590062585125E+09,  6.386064032569790E+07,  5.166555335504002E+00,  5.052614568828728E-01, -1.431848378714771E+00,  1.664882086631982E+04,  4.991190930315708E+09,  1.090777426150331E+00,
