*******************************************************************************
 Revised: Sep 08, 2007             Cordelia / (Uranus)                      706

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 13 +- 2           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              = +11.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  49.752 (10^3)  Orbital period      =  0.335033 d
  Eccentricity, e         =   0.0           Rotational period   = 
  Inclination, i  (deg)   =   0.1 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:35:23 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Cordelia (706)                  {source: ura086x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697479656981362E+09,  1.268158069217252E+09, -3.028480962503362E+07, -1.320270299422468E+01,  7.683505787258576E+00, -2.781547960707600E+00,  9.943085524460344E+03,  2.980862049482187E+09, -8.650478888858668E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697229427043701E+09,  1.268662320638836E+09, -3.027818001925343E+07, -1.291846220741305E+01,  7.485348906875101E+00, -3.754087736904516E+00,  9.943045729865149E+03,  2.980850119362677E+09, -8.465373416389006E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696978930810610E+09,  1.269166620558296E+09, -3.027111852765238E+07, -1.254284565830637E+01,  7.272135646218591E+00, -4.691416257783285E+00,  9.943005540332642E+03,  2.980838070843941E+09, -8.204479294637714E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696728159294213E+09,  1.269670969040462E+09, -3.026363874696410E+07, -1.207928504728061E+01,  7.045705045892937E+00, -5.585691898866996E+00,  9.942964929603941E+03,  2.980825896053761E+09, -7.870227391418473E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696477064063325E+09,  1.270175371114749E+09, -3.025578077181017E+07, -1.153247208008822E+01,  6.808275591719915E+00, -6.428338947572716E+00,  9.942923760365473E+03,  2.980813553826568E+09, -7.466031559421180E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696225610154918E+09,  1.270679833276240E+09, -3.024755233796448E+07, -1.090688278664539E+01,  6.561899287537640E+00, -7.211638166044553E+00,  9.942881936991327E+03,  2.980801015494431E+09, -6.995169785702318E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695973773082538E+09,  1.271184355079297E+09, -3.023899488180935E+07, -1.020864195942985E+01,  6.308881924443801E+00, -7.928625183335374E+00,  9.942839386782580E+03,  2.980788259262762E+09, -6.462292403635153E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695721514746303E+09,  1.271688941213600E+09, -3.023013458829814E+07, -9.443888694802416E+00,  6.051520060008562E+00, -8.572431893395352E+00,  9.942796002789890E+03,  2.980775253068956E+09, -5.872061978404997E+00,
