*******************************************************************************
 Revised: Sep 08, 2007             Cressida / (Uranus)                      709

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 33 +- 4           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +9.5

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  61.777 (10^3)  Orbital period      =  0.463570 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.0
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:39:07 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Cressida (709)                  {source: ura086x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697497993829498E+09,  1.268153408412805E+09, -3.028956301551676E+07, -1.117910838385467E+01,  6.953673746357173E+00, -4.929744679970666E+00,  9.943134421866829E+03,  2.980876708555865E+09, -7.107968438569699E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697186091376158E+09,  1.268670521493996E+09, -3.028745212062109E+07, -1.139103542560237E+01,  8.261342252127157E+00,  4.161410167669984E+00,  9.942926888465687E+03,  2.980814491607420E+09, -6.833320054507924E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696898669920927E+09,  1.269189117444675E+09, -3.023557972178143E+07, -4.011345679992210E+00,  7.396699107034825E+00,  9.568312897980867E+00,  9.942794062709219E+03,  2.980774671447403E+09, -5.769259653221301E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696665082178507E+09,  1.269696946612134E+09, -3.017592615948123E+07,  4.320869289924631E+00,  5.136750656267425E+00,  6.425906570811200E+00,  9.942808524346003E+03,  2.980779006937041E+09,  6.032029291180212E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696466140289834E+09,  1.270191408151812E+09, -3.015746073868459E+07,  6.114676842771867E+00,  3.513580679219958E+00, -2.432948281702080E+00,  9.942910269711843E+03,  2.980809509430357E+09,  7.053221794855512E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696251478264273E+09,  1.270681869959322E+09, -3.019207230936235E+07, -2.329936654515072E-01,  3.982947667142811E+00, -9.048818759040895E+00,  9.942961005901148E+03,  2.980824719757257E+09,  1.578775307997922E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695984797683605E+09,  1.271181234972628E+09, -3.024402168956357E+07, -9.024177906515352E+00,  6.122427369147550E+00, -7.485871334628579E+00,  9.942868378874653E+03,  2.980796950873307E+09, -5.475021974785394E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695676392986092E+09,  1.271694377349154E+09, -3.026198185702783E+07, -1.236660886353327E+01,  8.011456725057100E+00,  8.588293737719757E-01,  9.942668700537326E+03,  2.980737088813751E+09, -7.774667906466751E+00,
