*******************************************************************************
 Revised: Apr 06, 2006              Cupid / (Uranus)                        727

 Irregular Uranian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:48:47 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Cupid (727)                     {source: ura074x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697540600696593E+09,  1.268152244290419E+09, -3.023029494198209E+07, -2.520189119984322E+00,  4.545402380698095E+00, -8.649627484339012E+00,  9.943259373600820E+03,  2.980914168143330E+09, -2.591719884365475E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697161644725850E+09,  1.268690850251132E+09, -3.018070208504379E+07,  3.119649345646948E+00,  5.391801935002556E+00,  6.464669925027740E+00,  9.942878351634956E+03,  2.980799940631631E+09,  5.052207583277326E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696956002865415E+09,  1.269167810883740E+09, -3.029951294016618E+07, -1.157111299789715E+01,  7.753865468087842E+00,  1.039489136513927E-01,  9.942938996817971E+03,  2.980818121600114E+09, -7.168829135900464E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696758910181225E+09,  1.269677031176299E+09, -3.017112681221926E+07,  2.639287997263312E+00,  3.713063085708771E+00, -6.418038932238524E+00,  9.943063212311145E+03,  2.980855360468133E+09,  4.034262770471686E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696376478453365E+09,  1.270204134996252E+09, -3.020864978522038E+07, -1.904890920628827E+00,  6.819265896549507E+00,  8.782564640541304E+00,  9.942659539866081E+03,  2.980734342513601E+09,  1.093773168943891E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696235907131807E+09,  1.270674641107209E+09, -3.026881454694486E+07, -9.953958664115389E+00,  6.653826410423052E+00, -5.247191613932737E+00,  9.942906341932212E+03,  2.980808331911646E+09, -6.113961041130591E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695953316408581E+09,  1.271203622025724E+09, -3.013248244770426E+07,  5.480576504480721E+00,  3.765592184979057E+00, -1.489740142551175E+00,  9.942801480599028E+03,  2.980776895274822E+09,  6.577849696661786E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695620585708957E+09,  1.271709942232646E+09, -3.023939837150848E+07, -7.370776795607336E+00,  7.839086364584768E+00,  7.451857647484598E+00,  9.942521736934192E+03,  2.980693030233931E+09, -3.396899038025943E+00,
