*******************************************************************************
 Revised: Sep 29, 2017             Cyllene / (Jupiter)                      548

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:34:06 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Cyllene (548)                   {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.564361859254080E+08, -3.401823486100041E+08,  2.093603018481140E+07,  6.938674401455597E+00, -9.266395900302806E+00, -1.412847379926749E+00,  2.767492771585972E+03,  8.296734604909911E+08, -2.562429191401109E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.558347487751561E+08, -3.409829713054314E+08,  2.081373303192674E+07,  6.983532076262084E+00, -9.266600171311048E+00, -1.418087383514254E+00,  2.766750329673343E+03,  8.294508820050819E+08, -2.589856844971062E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.552294228887805E+08, -3.417836282267275E+08,  2.069098784640558E+07,  7.028691592228550E+00, -9.267190130708643E+00, -1.423217603490209E+00,  2.765999978023811E+03,  8.292259322397041E+08, -2.617318781620899E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.546201821585366E+08, -3.425843532146650E+08,  2.056780435180603E+07,  7.074153510787194E+00, -9.268177828358526E+00, -1.428232476253537E+00,  2.765241707787940E+03,  8.289986085418645E+08, -2.644807708565331E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.540070004471383E+08, -3.433851811658466E+08,  2.044419276384111E+07,  7.119918028538237E+00, -9.269575618387366E+00, -1.433126184755802E+00,  2.764475512308327E+03,  8.287689089157226E+08, -2.672315789392661E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.533898516072567E+08, -3.441861480560815E+08,  2.032016381012437E+07,  7.165985173000275E+00, -9.271396149531938E+00, -1.437892696280275E+00,  2.763701387235790E+03,  8.285368320574272E+08, -2.699834825534766E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.527687095008941E+08, -3.449872909702868E+08,  2.019572874950866E+07,  7.212354678627869E+00, -9.273652448737197E+00, -1.442525741347052E+00,  2.762919330654710E+03,  8.283023773926902E+08, -2.727356106233953E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.521435480281805E+08, -3.457886481339509E+08,  2.007089939355089E+07,  7.259025931618596E+00, -9.276357880356873E+00, -1.447018794200783E+00,  2.762129343239879E+03,  8.280655451238091E+08, -2.754870372826293E+00,
