*******************************************************************************
 Revised: Sep 28, 2012             Deimos / (Mars)                          402

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 7.8 x 6.0 x 5.1 Density (g cm^-3)   =  1.76 +- 0.30
  Mass (10^20 kg )        = 1.80 (10^-5)    Geometric Albedo    =  0.06 
                               (+- 0.15)    V(1,0)              = +12.89

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 23.4632(10^3)   Orbital period      = 1.263 d
  Eccentricity, e         =  0.00033        Rotational period   = Synchronous
  Inclination, i  (deg)   =  1.791
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 11:31:03 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Deimos (402)                    {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.071512247931370E+08,  2.189914362872999E+08,  7.181894077054426E+06, -2.066812642323496E+01, -7.299226415002093E+00,  3.823181361107109E-01,  8.135833679305637E+02,  2.439061576598220E+08,  2.537421598195058E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.089647611745750E+08,  2.182164223201294E+08,  7.216672778315201E+06, -1.952347126060559E+01, -8.575870478355700E+00, -2.210516690298459E-01,  8.139497506324853E+02,  2.440159964305999E+08,  1.042469982712085E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.107751351652288E+08,  2.174604588787237E+08,  7.256145271715194E+06, -2.016881378785471E+01, -1.020271654311693E+01, -1.961009089493970E-02,  8.144214045186644E+02,  2.441573947084627E+08,  6.296495154780850E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.125490034495995E+08,  2.167044266278215E+08,  7.282986508876994E+06, -2.152236187012241E+01, -1.003219069578416E+01,  6.807369166399320E-01,  8.148877902576215E+02,  2.442972136355208E+08,  1.036680041594314E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.142957036009293E+08,  2.159073876783784E+08,  7.297795539923221E+06, -2.145442679903540E+01, -8.568522321268517E+00,  8.373790483924801E-01,  8.152402415473283E+02,  2.444028758739872E+08,  2.488729130583631E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.160532886279612E+08,  2.150671336739345E+08,  7.318200010771707E+06, -1.993123975540237E+01, -8.225790924638627E+00,  2.098741628103271E-01,  8.155338151551534E+02,  2.444908870274811E+08,  2.231267395757517E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.178321717823477E+08,  2.142236272209561E+08,  7.352829132519305E+06, -1.906899483882625E+01, -9.760435817813596E+00, -2.828677199398286E-01,  8.159051903914291E+02,  2.446022225224045E+08,  6.293697245125593E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.195995818356337E+08,  2.134000047198102E+08,  7.388557913422421E+06, -2.000297684376758E+01, -1.115465908640579E+01,  7.761317173019400E-02,  8.163684817815695E+02,  2.447411137870249E+08,  5.114307733625293E-02,
