*******************************************************************************
 Revised: Sep 08, 2007            Desdemona / (Uranus)                      710

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 29 +- 3           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +9.8

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  62.659 (10^3)  Orbital period      =  0.473651 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.2
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:40:11 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Desdemona (710)                 {source: ura086x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697448754199275E+09,  1.268163281239673E+09, -3.029673081288338E+07, -1.186698265458105E+01,  8.170929917202296E+00,  2.814774915438291E+00,  9.943000044069575E+03,  2.980836423105726E+09, -7.291169214308279E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697161226477047E+09,  1.268678966077744E+09, -3.026607353428435E+07, -7.860166734588833E+00,  8.011876481275475E+00,  8.043374376013018E+00,  9.942863104514761E+03,  2.980795369659991E+09, -3.783915948978843E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696898081986376E+09,  1.269191442515508E+09, -3.021947238739341E+07, -1.548869210903564E+00,  6.836336193091205E+00,  9.526008027780641E+00,  9.942795045765530E+03,  2.980774966160271E+09,  1.412923183250048E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696663259614027E+09,  1.269697187685977E+09, -3.017636272571814E+07,  4.104687318146479E+00,  5.195703805121145E+00,  6.567192018429670E+00,  9.942803381660899E+03,  2.980777465198833E+09,  5.860134219331306E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696447327179457E+09,  1.270195820266697E+09, -3.015455377395296E+07,  6.447718779584769E+00,  3.859429359712305E+00,  5.562724238052985E-01,  9.942859675429598E+03,  2.980794341646121E+09,  7.471629509307737E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696231958232062E+09,  1.270690274102580E+09, -3.016182659587818E+07,  4.381737892806254E+00,  3.453658345078871E+00, -5.687055741897058E+00,  9.942913039088055E+03,  2.980810339668458E+09,  5.493218934316698E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695998524786862E+09,  1.271185414211790E+09, -3.019234676670265E+07, -1.125152197203661E+00,  4.168342285155136E+00, -9.234799537850835E+00,  9.942913990095234E+03,  2.980810624773238E+09,  8.535086057910851E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695736811636241E+09,  1.271685766212107E+09, -3.022935814801216E+07, -7.490615316604229E+00,  5.668090734462188E+00, -8.422180493376064E+00,  9.942837603655815E+03,  2.980787724694807E+09, -4.270716739127712E+00,
