*******************************************************************************
 Revised: Apr 28, 2015             Despina / (Neptune)                      805

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  74 +- 10       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +7.9 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 52.526(10^3)    Orbital period      = 0.334655 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 0.07
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:31:40 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Despina (805)                   {source: nep088}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.266997978137681E+09, -1.364265197976419E+09, -7.025320809420609E+07, -1.523268078266334E+00,  1.507547597813371E+01,  4.652798577208052E+00,  1.494479823954382E+04,  4.480337798546915E+09, -6.114182521141797E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.267138738498042E+09, -1.363818586083176E+09, -7.026731661573857E+07, -7.588211588822118E-01,  1.538257000709605E+01,  4.448886002500260E+00,  1.494479260215115E+04,  4.480336108499110E+09, -5.474955612114508E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.267279183657125E+09, -1.363371999593585E+09, -7.028129612084484E+07,  1.957363007663648E-02,  1.563366476109317E+01,  4.219191432225069E+00,  1.494478614579103E+04,  4.480334172931038E+09, -4.804888218971431E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.267419369947297E+09, -1.362925421999100E+09, -7.029518831302971E+07,  8.072170913833492E-01,  1.582659652782459E+01,  3.964572854468139E+00,  1.494477903474037E+04,  4.480332041091683E+09, -4.107826635740620E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.267559296395040E+09, -1.362478890296504E+09, -7.030903894415414E+07,  1.598912346391358E+00,  1.595996036208320E+01,  3.686783862929196E+00,  1.494477130573610E+04,  4.480329723994493E+09, -3.388337689576726E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.267698903385541E+09, -1.362032435952198E+09, -7.032284199577296E+07,  2.389860142744641E+00,  1.603347255042909E+01,  3.388109079262215E+00,  1.494476280082582E+04,  4.480327174286538E+09, -2.650959887886820E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267838133753544E+09, -1.361586031292676E+09, -7.033653813246840E+07,  3.176116506179146E+00,  1.604750448920214E+01,  3.070578125209796E+00,  1.494475330703051E+04,  4.480324328118304E+09, -1.899612621628163E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.267976992883763E+09, -1.361139597089071E+09, -7.035006907444280E+07,  3.954162638736650E+00,  1.600227590701120E+01,  2.735565264289379E+00,  1.494474275794700E+04,  4.480321165582631E+09, -1.137754020133131E+00,
