            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.625699333255958E+07, -1.448762757062794E+08,  5.603955003514886E+03,  2.788217047704061E+01,  8.943832717218442E+00,  4.787720486421065E-04,  5.072899602884395E+02,  1.520817041135937E+08, -3.947745133972599E-02,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.865944432853783E+07, -1.440832603832172E+08,  5.648632840089500E+03,  2.772889618039057E+01,  9.412624372810681E+00,  5.476568439526375E-04,  5.072777077064964E+02,  1.520780308819361E+08, -4.556164543874613E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  5.104833479025016E+07, -1.432498400177881E+08,  5.697168966852129E+03,  2.756826693945678E+01,  9.879131047809247E+00,  5.672499425353195E-04,  5.072636886192406E+02,  1.520738280653087E+08, -5.174998663126021E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  5.342302835455339E+07, -1.423762130432525E+08,  5.745113024175167E+03,  2.740025847077159E+01,  1.034332821639891E+01,  5.334157971437214E-04,  5.072478610883779E+02,  1.520690830909273E+08, -5.812564437147746E-02,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  5.578288563610729E+07, -1.414625803708132E+08,  5.787740205444396E+03,  2.722482505119229E+01,  1.080518224818814E+01,  4.440004746273374E-04,  5.072301589463264E+02,  1.520637761222499E+08, -6.477319972794085E-02,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  5.812726236906834E+07, -1.405091463912872E+08,  5.820239199496806E+03,  2.704189945766889E+01,  1.126464531464457E+01,  2.992233962979540E-04,  5.072104917520774E+02,  1.520578800457440E+08, -7.177603082852367E-02,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  6.045550756595513E+07, -1.395161204552406E+08,  5.837935614071786E+03,  2.685139347490758E+01,  1.172164930306641E+01,  1.021119153445937E-04,  5.071887456135513E+02,  1.520513607174232E+08, -7.921280065521548E-02,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  6.276696176642646E+07, -1.384837189455025E+08,  5.836555392287672E+03,  2.665319965339346E+01,  1.217609809074545E+01, -1.410100378160806E-04,  5.071647852511542E+02,  1.520441775814857E+08, -8.715219015930740E-02,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  6.506095554547409E+07, -1.374121681010404E+08,  5.812530874386430E+03,  2.644719589510386E+01,  1.262785790722434E+01, -4.200438022206043E-04,  5.071384579493952E+02,  1.520362848549788E+08, -9.564492795357317E-02,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  6.733680862181309E+07, -1.363017077274431E+08,  5.763341184370220E+03,  2.623325516767186E+01,  1.307674676976338E+01, -7.208453528271264E-04,  5.071096002494629E+02,  1.520276335341839E+08, -1.047127898380601E-01,
