 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:13 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
Revised: Jul 31, 2013                  Earth                                399
 
PHYSICAL PROPERTIES (revised Sep 18, 2013):
 Mean radius, km          = 6371.01+-0.01   Mass, 10^24 kg = 5.97219+-0.0006
 Equ. radius, km          = 6378.14+-0.01   Mass layers:
 Polar axis, km           = 6356.752          Atmos          = 5.1   x 10^18 kg
 Flattening               = 1/298.257         oceans         = 1.4   x 10^21 kg
 Density, gm cm^-3        = 5.515             crust          = 2.6   x 10^22 kg
 J2  (GEM T2, 1990)       = 0.0010826265      mantle         = 4.043 x 10^24 kg
 gp, m s^-2 (polar)       = 9.8321863685      outer core     = 1.835 x 10^24 kg
 ge, m s^-2 (equatorial)  = 9.7803267715      inner core     = 9.675 x 10^22 kg
 go, m s^-2               = 9.82022         Fluid core rad   = 3480 km
 GM, km^3 s^-2            = 398600.440      Inner core rad   = 1215 km
 Mean rot. rate, rad s^-1 = 7.292115*10^-5  Surface Area:
 Sidereal period, hr      = 23.93419          land           = 1.48 x 10^8 km
 Mean solar day, days     = 1.002738          sea            = 3.62 x 10^8 km
 Moment of inertia        = 0.3308          Love no., k2     = 0.299
 Mean Temperature, K      = 270             Atm. pressure    = 1.0 bar
 Solar constant, W/m^2    = 1367.6          Vis. mag. V(1,0) = -3.86
 Volume, 10^10 km^3       = 108.321         Geometric albedo = 0.367 

DYNAMICAL CHARACTERISTICS:
 Obliquity to orbit, deg  = 23.45           Sidereal period  = 1.0000174  yrs
 Orbit velocity, km s^-1  = 29.7859         Sidereal period  = 365.25636  days
 Mean daily motion, n     = 0.9856474 deg/d Escape velocity  = 11.186 km s^-1
 Hill's sphere radius     = 234.9           Magnetic moment  = 0.61 gauss Rp^3
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:13 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.666129868614101E+07, -1.441038546147778E+08, -1.550878467269987E+04,  2.787440305182244E+01,  8.954169916320883E+00,  6.526979599650318E-04,  5.052499429549957E+02,  1.514701223028379E+08,  6.816814036929224E-02,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.906307802834507E+07, -1.433099465917893E+08, -1.544906672681123E+04,  2.772111607419389E+01,  9.422951527087005E+00,  7.218809339266663E-04,  5.052689771836750E+02,  1.514758286210399E+08,  6.390847855310403E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  5.145129574313594E+07, -1.424756343934172E+08, -1.538546489983052E+04,  2.756047420974065E+01,  9.889448178443271E+00,  7.417682805219705E-04,  5.052867676994649E+02,  1.514811620834976E+08,  5.952353959687452E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  5.382531547228818E+07, -1.416011164509421E+08, -1.532242987937480E+04,  2.739245317386384E+01,  1.035363534799468E+01,  7.082247221221749E-04,  5.053032664218808E+02,  1.514861082760445E+08,  5.492977728513034E-02,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  5.618449783526950E+07, -1.406865936733031E+08, -1.526468677652627E+04,  2.721700724201966E+01,  1.081547940849394E+01,  6.190966001193843E-04,  5.053184009212993E+02,  1.514906454848258E+08,  5.004215324601415E-02,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  5.852819857091354E+07, -1.397322704487939E+08, -1.521704718317837E+04,  2.703406918953961E+01,  1.127493253428067E+01,  4.746036108542739E-04,  5.053320743495244E+02,  1.514947446754827E+08,  4.477673681449383E-02,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  6.085576669626843E+07, -1.387383561252202E+08, -1.518418574860692E+04,  2.684355079933893E+01,  1.173192661526101E+01,  2.777733796257564E-04,  5.053441662323665E+02,  1.514983697307617E+08,  3.905420073972272E-02,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  6.316654275536175E+07, -1.377050670824369E+08, -1.517037676344067E+04,  2.664534461997763E+01,  1.218636553108174E+01,  3.493010352162429E-05,  5.053545344984723E+02,  1.515014780587428E+08,  3.280507064510238E-02,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  6.545985732738307E+07, -1.366326295562440E+08, -1.517918809846789E+04,  2.643932855140551E+01,  1.263811551340121E+01, -2.438272970124444E-04,  5.053630193915818E+02,  1.515040217657039E+08,  2.597768184945871E-02,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  6.773503013506666E+07, -1.355212833488898E+08, -1.521314081864804E+04,  2.622537555915302E+01,  1.308699458136950E+01, -5.443545459913324E-04,  5.053694501216081E+02,  1.515059496500653E+08,  1.854918069779989E-02,
