*******************************************************************************
 Revised: Sep 13, 2016            Elara   / (Jupiter)                       507

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 40 +- 10        Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =   0.03
                                            V(1,0)              = +10.07

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11737 (10^3)    Orbital period      = 259.6528 d
  Eccentricity, e         =   0.207         Rotational period   = 0.5 d 
  Inclination, i  (deg)   =  28             Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 12:00:32 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Elara (507)                     {source: jup340_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.410319140283023E+08, -3.310472504362171E+08,  1.919218046771862E+07,  3.027504559778435E+00, -1.181862065988671E+01,  1.271487415490983E+00,  2.708016475463215E+03,  8.118429154836138E+08,  2.085929381638921E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.407691317371446E+08, -3.320705344264684E+08,  1.930178088364029E+07,  3.055559867370526E+00, -1.186846609667434E+01,  1.265476353725895E+00,  2.708619129272402E+03,  8.120235865503930E+08,  2.096157581020654E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.405038889575838E+08, -3.330981138720686E+08,  1.941084047085766E+07,  3.084459847460873E+00, -1.191805086882222E+01,  1.258968399343135E+00,  2.709224632575571E+03,  8.122051118739774E+08,  2.105703796753035E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.402361128174150E+08, -3.341299658172455E+08,  1.951931634281005E+07,  3.114202133956413E+00, -1.196736484331843E+01,  1.251964596618540E+00,  2.709832788727500E+03,  8.123874325016119E+08,  2.114567198035632E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.399657306270171E+08, -3.351660664286153E+08,  1.962716569929451E+07,  3.144784760049646E+00, -1.201639797470239E+01,  1.244465863318327E+00,  2.710443400767587E+03,  8.125704893859940E+08,  2.122746579434331E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.396926698648697E+08, -3.362063910127416E+08,  1.973434581228894E+07,  3.176205795570818E+00, -1.206514031189281E+01,  1.236472972229479E+00,  2.711056271386349E+03,  8.127542233752285E+08,  2.130240694892055E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.394168581701815E+08, -3.372509140056379E+08,  1.984081401760584E+07,  3.208463486447550E+00, -1.211358164394729E+01,  1.227986629713848E+00,  2.711671202875604E+03,  8.129385751978937E+08,  2.137047986083942E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.391382233210489E+08, -3.382996089550574E+08,  1.994652770778148E+07,  3.241556369640000E+00, -1.216171166886475E+01,  1.219007430372096E+00,  2.712287997024631E+03,  8.131234854319108E+08,  2.143166545620824E+00,
