            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.311626890730128E+08, -1.498602632436836E+09,  3.116724585224748E+07, -2.960315980787584E+00, -3.426197122396561E+00,  2.153517572901850E+00,  5.018986873711050E+03,  1.504654411539572E+09,  3.715079157172744E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.300776143519565E+08, -1.498861617557372E+09,  3.120428880956906E+07,  7.202649799400096E+00,  1.028543998747846E+01, -6.010841267058398E+00,  5.019535681359297E+03,  1.504818939933409E+09, -1.099196608161878E+01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.295217533241865E+08, -1.499170466166413E+09,  3.131888131467557E+07,  2.173564071913939E+01, -1.180372166791192E+00, -1.407267320499548E+00,  5.020409849541677E+03,  1.505081008961509E+09, -7.240362716223216E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.289752582320392E+08, -1.499001894910582E+09,  3.118447686959845E+07,  7.715083542510579E+00, -1.189837340413416E+01,  5.567104525561324E+00,  5.019683892322888E+03,  1.504863372462486E+09,  1.130616701863137E+01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.278990277525259E+08, -1.498906105585457E+09,  3.103717556535250E+07, -3.113938444251350E+00,  2.170544616259040E+00, -7.535154594147251E-01,  5.019049037753825E+03,  1.504673047850754E+09, -1.913079970410913E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.269445770531805E+08, -1.499266216928469E+09,  3.114073277804875E+07,  1.353254631004894E+01,  9.489709628528558E+00, -6.196063788623695E+00,  5.019983220987734E+03,  1.504953108938670E+09, -1.072354633055240E+01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.264921708865262E+08, -1.499438663704060E+09,  3.119476527917701E+07,  2.022161141292286E+01, -6.590627431632586E+00,  1.584116307274985E+00,  5.020432948778257E+03,  1.505087933938422E+09,  4.899236803858509E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.257871059623071E+08, -1.499201096409163E+09,  3.100976405956358E+07,  1.865946913868463E+00, -9.650604637573661E+00,  4.965743419055354E+00,  5.019433589652527E+03,  1.504788333609694E+09,  9.561126440141566E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -1.246474989978340E+08, -1.499253633133930E+09,  3.093493667939347E+07, -2.090268502971391E-01,  7.040844927166877E+00, -3.575876719784421E+00,  5.019286728622686E+03,  1.504744305780575E+09, -7.071352350228527E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -1.238668009969580E+08, -1.499642833470093E+09,  3.107144038849455E+07,  1.875575672291524E+01,  6.049663060904102E+00, -4.888734438988460E+00,  5.020374614577294E+03,  1.505070445784929E+09, -7.672364767226713E+00,
