*******************************************************************************
 Revised: Oct 11, 2016            Epimetheus / (Saturn)                     611

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 69 x 55 x 55    Density (g cm^-3)   = 0.63 +- 0.11 
  Mass (10^20 kg )        = 0.0055 +-0.0003 Geometric Albedo    = 0.5 
                                            V(1,0)              = +6.1 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 151.422 (10^3)  Orbital period      = 0.694590 d
  Eccentricity, e         = 0.009           Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.34 

 NOTE: The IAU rotational spin-pole model (defining latitude and logitude) is 
       valid only near the time of the 1981 Voyager 1 & 2 flybys; an updated
       Cassini-based coordinate grid model is not yet published by the IAU.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 12:46:01 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Epimetheus (611)                {source: sat393}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.307152745429604E+08, -1.498166909549547E+09,  3.131933874979234E+07,  2.483859492335021E+01, -3.628803901040125E+00, -3.830113185979152E-01,  5.017419930690902E+03,  1.504184653840015E+09,  1.447810615753678E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.298292858270712E+08, -1.497998924109520E+09,  3.115059718450397E+07, -4.326715712755144E+00,  6.798537588137134E+00, -3.137887160203288E+00,  5.016594156720535E+03,  1.503937093031687E+09, -6.463179002339373E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.292419076557720E+08, -1.498260866690604E+09,  3.123926378559232E+07,  1.869383037905499E+01, -1.252158650828346E+01,  4.933220978130233E+00,  5.017301859119537E+03,  1.504149256873416E+09,  1.096878309829632E+01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.281904668283745E+08, -1.498228964263046E+09,  3.112737251313061E+07,  4.860530228516979E+00,  1.269356601427579E+01, -7.145511947003646E+00,  5.016887979213941E+03,  1.504025178799200E+09, -1.320680211579314E+01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.276999132108983E+08, -1.498310447778330E+09,  3.112995731153536E+07,  7.126419274593112E+00, -1.471719220394491E+01,  7.217832328935616E+00,  5.017019717056978E+03,  1.504064672810976E+09,  1.420522063762955E+01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.266310794428372E+08, -1.498474410384457E+09,  3.112087236677450E+07,  1.650138242300707E+01,  1.121797377154748E+01, -7.479644093536367E+00,  5.017262507853938E+03,  1.504137459660776E+09, -1.271972014781883E+01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.260736626242274E+08, -1.498371558794286E+09,  3.101953979601187E+07, -3.121776489710443E+00, -9.136137649136204E+00,  5.249488746189332E+00,  5.016757537065294E+03,  1.503986073226830E+09,  9.471988860344970E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.251459040402880E+08, -1.498680703202458E+09,  3.110168410317940E+07,  2.422286495599996E+01,  2.921895755303774E+00, -3.816075213184673E+00,  5.017532126884438E+03,  1.504218289412653E+09, -5.005302446722445E+00,
