*******************************************************************************
 Revised: Sep 29, 2017               Erinome / (Jupiter)                    525

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:12:46 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Erinome (525)                   {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.532112526955152E+08, -3.179896608340409E+08,  1.082180800782080E+07,  6.723679272826137E+00, -1.044619530743097E+01, -1.321893966556291E-01,  2.727407639403474E+03,  8.176562401847452E+08, -2.132924849774706E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.526294126078633E+08, -3.188923369546328E+08,  1.081048842893764E+07,  6.744833808324094E+00, -1.044908512141874E+01, -1.298376468220233E-01,  2.726792572624641E+03,  8.174718478032846E+08, -2.135401661792995E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.520457467031827E+08, -3.197952627199921E+08,  1.079937210534932E+07,  6.765943560607811E+00, -1.045197413300003E+01, -1.274844084974140E-01,  2.726176805567671E+03,  8.172872454837198E+08, -2.137784511630902E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.514602588495476E+08, -3.206984380630015E+08,  1.078845916654351E+07,  6.787008557672739E+00, -1.045486238754229E+01, -1.251296632211045E-01,  2.725560365325701E+03,  8.171024413483698E+08, -2.140073309646451E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.508729529124593E+08, -3.216018629200004E+08,  1.077774974348828E+07,  6.808028830805146E+00, -1.045774992878334E+01, -1.227733919694858E-01,  2.724943279016580E+03,  8.169174435269603E+08, -2.142267970175427E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.502838327548776E+08, -3.225055372318110E+08,  1.076724396902792E+07,  6.829004405972352E+00, -1.046063681412888E+01, -1.204155716519715E-01,  2.724325573784227E+03,  8.167322601570338E+08, -2.144368397528825E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.496929022378780E+08, -3.234094609441854E+08,  1.075694197792208E+07,  6.849935301568768E+00, -1.046352309890829E+01, -1.180561813543219E-01,  2.723707276801160E+03,  8.165468993847061E+08, -2.146374490177399E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.491001652210672E+08, -3.243136340076094E+08,  1.074684390670705E+07,  6.870821533891788E+00, -1.046640883915223E+01, -1.156952000531795E-01,  2.723088415269421E+03,  8.163613693649441E+08, -2.148286144686133E+00,
