*******************************************************************************
JPL/HORIZONS                 433 Eros (1898 DQ)            2017-Nov-11 14:12:20
Rec #:   433 (+COV)   Soln.date: 2017-Jun-06_06:20:43   # obs: 6084 (1963-2017)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2451960.5 ! 2001-Feb-20.00 (TDB)         Residual RMS= .38501        
   EC= .2229072631692741   QR= 1.133196715533832   TP= 2452085.0842564595      
   OM= 304.4109224241166   W=  178.6283757931986   IN= 10.82944804139757       
   A= 1.458251585461255    MA= 290.2701786435418   ADIST= 1.783306455388678    
   PER= 1.76099            N= .559700089           ANGMOM= .020250272          
   DAN= 1.78316            DDN= 1.13326            L= 123.0637166              
   B= .2576845             MOID= .14882299         TP= 2001-Jun-24.5842564595  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .0004463            RAD= 8.42               ROTPER= 5.27                
   H= 11.16                G= .460                 B-V= .921                   
                           ALBEDO= .250            STYP= S                     
 
ASTEROID comments: 
1: soln ref.= JPL#611, OCC=0           radar( 1 delay, 3 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Nov 11 14:12:20 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 433 Eros (1898 DQ)              {source: JPL#611}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451960.5 ! 2001-Feb-20.00 (TDB)         Residual RMS= .38501        
   EC= .2229072631692741   QR= 1.133196715533832   TP= 2452085.0842564595      
   OM= 304.4109224241166   W=  178.6283757931986   IN= 10.82944804139757       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.232462280518342E+00  Y= 4.853585833335238E-01  Z= 4.982485077937658E-01
  VX=-9.498420974073860E-03 VY= 1.037188518492748E-02 VZ= 4.180083004990690E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .0004463            RAD= 8.42               ROTPER= 5.27                
   H= 11.16                G= .460                 B-V= .921                   
                           ALBEDO= .250            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.835901692366552E+08, -8.599392157810343E+06, -3.009438070158113E+07, -2.960811553807036E+00, -2.813937536833343E+01, -3.502214389935327E+00,  6.212264927009080E+02,  1.862390172215243E+08,  4.783929836780222E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.838319983020897E+08, -1.102986126137918E+07, -3.039467937553902E+07, -2.637379722407713E+00, -2.812079271253381E+01, -3.449116086350802E+00,  6.226105677157715E+02,  1.866539524722866E+08,  4.820889097101340E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.840459603692794E+08, -1.345854664471126E+07, -3.069038338091622E+07, -2.315750486082711E+00, -2.809809569950619E+01, -3.395858732667737E+00,  6.240051530331135E+02,  1.870720386324632E+08,  4.856868331798990E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.842322133154433E+08, -1.588509546340330E+07, -3.098147959704556E+07, -1.995972899995035E+00, -2.807134540282912E+01, -3.342456665186115E+00,  6.254099668969551E+02,  1.874931912337368E+08,  4.891872358324198E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.843909191735769E+08, -1.830916016289187E+07, -3.126795613028223E+07, -1.678094111487132E+00, -2.804060318947329E+01, -3.288923950511885E+00,  6.268247289834450E+02,  1.879173262371308E+08,  4.925906295459943E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.845222439686680E+08, -2.073039850138047E+07, -3.154980229060711E+07, -1.362159384662557E+00, -2.800593066404701E+01, -3.235274383422590E+00,  6.282491604857895E+02,  1.883443600584713E+08,  4.958975550059112E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.846263575560940E+08, -2.314847356803016E+07, -3.182700856806316E+07, -1.048212126246763E+00, -2.796738961491350E+01, -3.181521485137793E+00,  6.296829841953829E+02,  1.887742095927090E+08,  4.991085803947883E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.847034334623037E+08, -2.556305379657584E+07, -3.209956660905941E+07, -7.362939126254155E-01, -2.792504196218506E+01, -3.127678501978663E+00,  6.311259245791883E+02,  1.892067922371175E+08,  5.022243001009222E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -1.847536487278839E+08, -2.797381297453029E+07, -3.236746919257529E+07, -4.264445179613748E-01, -2.787894970759478E+01, -3.073758404401325E+00,  6.325777078534246E+02,  1.896420259133841E+08,  5.052453334460065E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -1.847771837530969E+08, -3.038043024813818E+07, -3.263071020629713E+07, -1.187019432939499E-01, -2.782917488624215E+01, -3.019773886388137E+00,  6.340380620536148E+02,  1.900798290886097E+08,  5.081723234334239E+00,
