*******************************************************************************
 Revised: Sep 29, 2017            Euanthe / (Jupiter)                       533
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:20:56 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Euanthe (533)                   {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.564307258257269E+08, -3.458624969364620E+08,  2.916393050064756E+07,  4.454763762418500E+00, -9.027280798301113E+00, -5.241515938267249E-01,  2.776124821172717E+03,  8.322612838541791E+08, -3.157765890279996E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.560443087893000E+08, -3.466420886115553E+08,  2.911807816399747E+07,  4.490072624829039E+00, -9.018856558362074E+00, -5.372277813993027E-01,  2.776030136981037E+03,  8.322328982476218E+08, -3.412766076691716E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.556548417216126E+08, -3.474209611539862E+08,  2.907110053548774E+07,  4.525366021629036E+00, -9.010633863962061E+00, -5.501999610118919E-01,  2.775928121970177E+03,  8.322023149167632E+08, -3.666495275176137E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.552623260405360E+08, -3.481991318906999E+08,  2.902300661573815E+07,  4.560642065253546E+00, -9.002610733357940E+00, -5.630677993559234E-01,  2.775818813039514E+03,  8.321695449237584E+08, -3.918934726603942E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.548667633265374E+08, -3.489766179798306E+08,  2.897380543473649E+07,  4.595898881218178E+00, -8.994785209456088E+00, -5.758309520920899E-01,  2.775702247629026E+03,  8.321345994928304E+08, -4.170065820733095E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.544681553204930E+08, -3.497534364085078E+08,  2.892350605137458E+07,  4.631134635200189E+00, -8.987155297959127E+00, -5.884891006244342E-01,  2.775578463705621E+03,  8.320974900061719E+08, -4.419870613028172E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.540665039197105E+08, -3.505296039918823E+08,  2.887211755047065E+07,  4.666347538122124E+00, -8.979719017613650E+00, -6.010419604805870E-01,  2.775447499745464E+03,  8.320582279986471E+08, -4.668331662480761E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.536618111747218E+08, -3.513051373745982E+08,  2.881964904075348E+07,  4.701535830323719E+00, -8.972474397958500E+00, -6.134892599171176E-01,  2.775309394722209E+03,  8.320168251542631E+08, -4.915431888111199E-01,
