*******************************************************************************
 Revised: Sep 29, 2017            Eukelade / (Jupiter)                      547

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:33:16 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Eukelade (547)                  {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.443003126774975E+08, -3.179399031668676E+08,  2.065959139558563E+07,  7.040219257210985E+00, -1.046809574811386E+01, -5.905505011065313E-01,  2.700624311788639E+03,  8.096268005656743E+08, -2.376419081817074E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.436912050000393E+08, -3.188446669786492E+08,  2.060848553110115E+07,  7.059480785963421E+00, -1.047550570650445E+01, -5.924507607781111E-01,  2.699939657494204E+03,  8.094215463718654E+08, -2.374812192128975E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.430804369351741E+08, -3.197500696343778E+08,  2.055721674200350E+07,  7.078654210069618E+00, -1.048288376718569E+01, -5.943219269829156E-01,  2.699255486348304E+03,  8.092164370223435E+08, -2.373066296748144E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.424680160789527E+08, -3.206561083683681E+08,  2.050578753615879E+07,  7.097739911372176E+00, -1.049022970224321E+01, -5.961641335100447E-01,  2.698571838329288E+03,  8.090114845023158E+08, -2.371181979780995E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.418539499937021E+08, -3.215627803955635E+08,  2.045420040993512E+07,  7.116738277977779E+00, -1.049754329874044E+01, -5.979775135226348E-01,  2.697888753244933E+03,  8.088067007458540E+08, -2.369159828001649E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.412382462092041E+08, -3.224700829132816E+08,  2.040245784822604E+07,  7.135649676198265E+00, -1.050482435636620E+01, -5.997621988146031E-01,  2.697206270737555E+03,  8.086020976374251E+08, -2.367000405927833E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.406209122239829E+08, -3.233780131012866E+08,  2.035056232469161E+07,  7.154474465778342E+00, -1.051207266924560E+01, -6.015183176734418E-01,  2.696524430287256E+03,  8.083976870128661E+08, -2.364704276985147E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.400019555055561E+08, -3.242865681217355E+08,  2.029851630200417E+07,  7.173213003552561E+00, -1.051928803852893E+01, -6.032459965047585E-01,  2.695843271211829E+03,  8.081934806593547E+08, -2.362272001903314E+00,
