*******************************************************************************
 Revised: Sep 29, 2017            Euporie / (Jupiter)                       534
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:21:41 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Euporie (534)                   {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.278696119528480E+08, -3.337441425140833E+08,  2.706021237131169E+07,  6.944481140302794E+00, -1.349606821821830E+01,  5.127715412463729E-01,  2.672495005050356E+03,  8.011938465567685E+08, -6.697098005771041E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.272698391584544E+08, -3.349108220839824E+08,  2.710367706914854E+07,  6.939092795947747E+00, -1.351033847124268E+01,  4.933318584317501E-01,  2.672307038809714E+03,  8.011374956954653E+08, -6.346766103582691E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.266705462641212E+08, -3.360787177020402E+08,  2.714545605499338E+07,  6.933372969830405E+00, -1.352421638051823E+01,  4.737511327504977E-01,  2.672129196039295E+03,  8.010841797741841E+08, -5.994581417527716E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.260717617497615E+08, -3.372477951880338E+08,  2.718553731942238E+07,  6.927325352899173E+00, -1.353769545288114E+01,  4.540334164872668E-01,  2.671961528777778E+03,  8.010339143937278E+08, -5.640638046341079E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.254735137752436E+08, -3.384180198045223E+08,  2.722390920167392E+07,  6.920953712218449E+00, -1.355076925758941E+01,  4.341828005181974E-01,  2.671804086347387E+03,  8.009867143405274E+08, -5.285030932227467E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.248758301659443E+08, -3.395893562606406E+08,  2.726056040229800E+07,  6.914262018022569E+00, -1.356343143150798E+01,  4.142035371724431E-01,  2.671656915304822E+03,  8.009425935719304E+08, -4.927856932713531E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.242787383980368E+08, -3.407617687212223E+08,  2.729547999140961E+07,  6.907254372399689E+00, -1.357567573792640E+01,  3.940999187019605E-01,  2.671520059398920E+03,  8.009015652035081E+08, -4.569213946483578E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.236822655883842E+08, -3.419352208164851E+08,  2.732865741219079E+07,  6.899934996769507E+00, -1.358749603039868E+01,  3.738763030182666E-01,  2.671393559543087E+03,  8.008636415007913E+08, -4.209200923965183E-01,
