*******************************************************************************
 Revised: Sep 29, 2017             Eurydome / (Jupiter)                     532
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:18:54 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Eurydome (532)                  {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.562559981559157E+08, -3.598958398519520E+08,  2.380956709705020E+07,  4.671757220971849E+00, -9.343128205773965E+00, -1.074033927020309E+00,  2.794811406932346E+03,  8.378633813306863E+08, -2.340044153322491E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.558511390191818E+08, -3.607022817685574E+08,  2.371656118393816E+07,  4.700010431288688E+00, -9.324507595999197E+00, -1.078876693109347E+00,  2.794740760790852E+03,  8.378422021502796E+08, -2.562825269452987E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.554438314199121E+08, -3.615071145843019E+08,  2.362313791542125E+07,  4.728434951759565E+00, -9.305880724180108E+00, -1.083694776933455E+00,  2.794663669746823E+03,  8.378190908367004E+08, -2.787298607072269E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.550340604614575E+08, -3.623103378154455E+08,  2.352929946338867E+07,  4.757033016699625E+00, -9.287248915970721E+00, -1.088487272568543E+00,  2.794580084900133E+03,  8.377940327300594E+08, -3.013473423797352E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.546218110506659E+08, -3.631119510945199E+08,  2.343504807824567E+07,  4.785806912876407E+00, -9.268613552290494E+00, -1.093253255382963E+00,  2.794489957077754E+03,  8.377670130886544E+08, -3.241359081694269E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.542070678974378E+08, -3.639119541765174E+08,  2.334038609226575E+07,  4.814758917130986E+00, -9.249976079682796E+00, -1.097991758228261E+00,  2.794393236845308E+03,  8.377380170924309E+08, -3.470964429325719E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.537898155138474E+08, -3.647103469430069E+08,  2.324531592229927E+07,  4.843891337084029E+00, -9.231337981035656E+00, -1.102701792362036E+00,  2.794289874514354E+03,  8.377070298451697E+08, -3.702298297853451E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.533700382110393E+08, -3.655071294057722E+08,  2.314984007160665E+07,  4.873206512420356E+00, -9.212700792095530E+00, -1.107382343911449E+00,  2.794179820142330E+03,  8.376740363744669E+08, -3.935369436370977E-01,
