*******************************************************************************
 Revised: Jan 08, 2014            Ferdinand  / (Uranus)                     724

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 Irregular Uranian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:45:28 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Ferdinand (724)                 {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.696613966192714E+09,  1.241690316341601E+09, -3.386617388354331E+07, -3.320113059182385E+00,  5.769873548271690E+00,  1.088473886652999E-01,  9.903353754522637E+03,  2.968950764511870E+09, -6.036992594626343E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.696327058298976E+09,  1.242188839836015E+09, -3.385676472330493E+07, -3.321273221722242E+00,  5.770022053386694E+00,  1.089572151823535E-01,  9.903179810057331E+03,  2.968898617273060E+09, -6.034125866694845E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696040050205593E+09,  1.242687376134738E+09, -3.384734608216453E+07, -3.322432495627131E+00,  5.770169944330702E+00,  1.090668540357940E-01,  9.903005948352102E+03,  2.968846494845098E+09, -6.031249345518916E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.695752941989291E+09,  1.243185925184719E+09, -3.383791797632498E+07, -3.323590882062640E+00,  5.770317221480073E+00,  1.091763054791826E-01,  9.902832169688974E+03,  2.968794397312531E+09, -6.028363045901698E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.695465733726698E+09,  1.243684486932943E+09, -3.382848042196786E+07, -3.324748382188162E+00,  5.770463885210948E+00,  1.092855697650594E-01,  9.902658474349557E+03,  2.968742324759783E+09, -6.025466982587501E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.695178425494341E+09,  1.244183061326427E+09, -3.381903343525249E+07, -3.325904997156901E+00,  5.770609935899248E+00,  1.093946471449470E-01,  9.902484862615020E+03,  2.968690277271149E+09, -6.022561170261838E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.694891017368649E+09,  1.244681648312222E+09, -3.380957703231680E+07, -3.327060728115869E+00,  5.770755373920679E+00,  1.095035378693434E-01,  9.902311334766122E+03,  2.968638254930796E+09, -6.019645623551446E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.694603509425950E+09,  1.245180247837407E+09, -3.380011122927713E+07, -3.328215576205887E+00,  5.770900199650725E+00,  1.096122421877284E-01,  9.902137891083194E+03,  2.968586257822767E+09, -6.016720357024343E-01,
