*******************************************************************************
 Revised: Jan 08, 2014            Francisco  / (Uranus)                     722

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:42:58 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Francisco (722)                 {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.700253445493746E+09,  1.266216524417354E+09, -2.880070267529732E+07, -3.456660845659911E+00,  4.711442972869764E+00, -4.287518230790845E-01,  9.948658846922785E+03,  2.982532889522428E+09, -1.125152741922699E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.699953548862635E+09,  1.266624421793286E+09, -2.883835706728655E+07, -3.485307064134533E+00,  4.730780476258415E+00, -4.428021217465030E-01,  9.948332162415054E+03,  2.982434951970864E+09, -1.141776924042181E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.699651199349045E+09,  1.267034029586627E+09, -2.887720561965752E+07, -3.513435406981235E+00,  4.751031225903573E+00, -4.563919576213942E-01,  9.948000811504029E+03,  2.982335615466788E+09, -1.157533219647408E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.699346443008198E+09,  1.267445425450792E+09, -2.891720792338979E+07, -3.541015741128015E+00,  4.772166013408185E+00, -4.695070298289306E-01,  9.947665046547534E+03,  2.982234955665169E+09, -1.172406427340361E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.699039328443614E+09,  1.267858684452719E+09, -2.895832237773293E+07, -3.568019223599499E+00,  4.794154193407890E+00, -4.821340578436948E-01,  9.947325124025610E+03,  2.982133049456792E+09, -1.186383145308830E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.698729906692521E+09,  1.268273878953563E+09, -2.900050627957517E+07, -3.594418373056930E+00,  4.816963796689935E+00, -4.942608086878262E-01,  9.946981304019189E+03,  2.982029974811959E+09, -1.199451788832684E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.698418231105355E+09,  1.268691078499360E+09, -2.904371591494614E+07, -3.620187134324123E+00,  4.840561647535538E+00, -5.058761191108103E-01,  9.946633849684848E+03,  2.981925810623023E+09, -1.211602599553709E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.698104357220028E+09,  1.269110349721980E+09, -2.908790665221828E+07, -3.645300935667154E+00,  4.864913484466590E+00, -5.169699127402954E-01,  9.946283026728099E+03,  2.981820636546496E+09, -1.222827646642914E+00,
