*******************************************************************************
 Revised: Apr 28, 2015             Galatea / (Neptune)                      806

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  79 +- 12       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +7.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 61.953(10^3)    Orbital period      = 0.428745 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 0.05
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:32:59 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Galatea (806)                   {source: nep088}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.266897797205740E+09, -1.364270386202590E+09, -7.021393664512241E+07, -2.142141324381054E+00, -4.419904170563617E+00, -2.030406783113889E+00,  1.494448320060340E+04,  4.480243352248599E+09, -6.624173380735542E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.267098094446892E+09, -1.363892789150223E+09, -7.027711084952623E+07,  1.134292444379017E+01,  7.695456828777605E+00, -3.255472758043794E+00,  1.494473933821789E+04,  4.480320140373635E+09,  8.511529807392277E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.267277009890785E+09, -1.363344747440519E+09, -7.027075000707150E+07, -4.246872164191655E+00,  1.237794232870122E+01,  4.820881778635958E+00,  1.494475102611364E+04,  4.480323644316629E+09, -7.887097538424957E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.267317551603638E+09, -1.362919035493928E+09, -7.025112236290580E+07, -2.302847295680432E+00, -4.369865154185166E+00, -1.946747248124089E+00,  1.494444675930656E+04,  4.480232427422647E+09, -8.335386977568517E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.267516398484872E+09, -1.362542545939774E+09, -7.031415293112987E+07,  1.136271495129311E+01,  7.524848405730834E+00, -3.325716256765183E+00,  1.494469984964120E+04,  4.480308301996165E+09,  8.586795508188652E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.267696910126919E+09, -1.361994973675683E+09, -7.030873617562240E+07, -4.107542976264478E+00,  1.249959245188818E+01,  4.805561810534381E+00,  1.494471774116132E+04,  4.480313665738961E+09, -7.787848383209400E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267737122014279E+09, -1.361567574021687E+09, -7.028850356277585E+07, -2.463881929174212E+00, -4.319769727041454E+00, -1.864025651942398E+00,  1.494441112308392E+04,  4.480221743951868E+09, -1.004977581347925E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.267934273520488E+09, -1.361192367956301E+09, -7.035138048725373E+07,  1.137626669454107E+01,  7.352302360677886E+00, -3.393577664551753E+00,  1.494466056226763E+04,  4.480296523937875E+09,  8.656570683737485E+00,
