            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.377361501726011E+08, -3.446619451270766E+08,  1.799356789230923E+07,  3.177166544994225E-01, -1.588424117365266E+00,  2.240274377284960E-01,  2.716797652140602E+03,  8.144754460238601E+08,  3.893418014015465E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.379963867685729E+08, -3.450822285629227E+08,  1.799837748094313E+07, -5.241526300578350E+00, -8.962819131824945E+00, -1.292479756089104E-01,  2.718177673601845E+03,  8.148891660498186E+08,  8.539579500209889E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.384146745566430E+08, -3.462576679583592E+08,  1.797246343580103E+07, -3.114480488781694E+00, -1.793055272094063E+01, -4.411226336884164E-01,  2.721101346043162E+03,  8.157656609973881E+08,  1.042020008061679E+01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.383537407359974E+08, -3.480374524582964E+08,  1.792995790148737E+07,  5.134777124907917E+00, -2.205405930111889E+01, -4.888234871842556E-01,  2.723439609193189E+03,  8.164666546545856E+08,  4.746785567865428E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.375206197117006E+08, -3.498381223265398E+08,  1.789680080508831E+07,  1.361099058316980E+01, -1.837559578334255E+01, -2.384655658696255E-01,  2.723492461545200E+03,  8.164824993911058E+08, -4.426512580171640E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.361752254202496E+08, -3.510586283399889E+08,  1.789228577871650E+07,  1.621471220751793E+01, -9.486323084457901E+00,  1.312915399903023E-01,  2.721188528188251E+03,  8.157917975469581E+08, -1.054713318348254E+01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.349496552328054E+08, -3.515128818774216E+08,  1.791508987430607E+07,  1.101002860784156E+01, -1.802543561172002E+00,  3.521744133048544E-01,  2.718154953991047E+03,  8.148823548818529E+08, -9.144743614376040E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.343918331917005E+08, -3.515718573618255E+08,  1.794393558926392E+07,  1.778230462279596E+00, -9.390487123153967E-01,  2.618505545781027E-01,  2.716563931715480E+03,  8.144053784031277E+08, -1.192374492304545E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -7.345617535475624E+08, -3.518945416337979E+08,  1.795310667999446E+07, -4.731313091491667E+00, -7.494867320685182E+00, -7.306242583957223E-02,  2.717540464806631E+03,  8.146981356588426E+08,  7.501591787760180E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -7.349904031300610E+08, -3.529440917822268E+08,  1.793129085904962E+07, -3.833736905830081E+00, -1.666512465394558E+01, -4.088648808781015E-01,  2.720341391098576E+03,  8.155378322365816E+08,  1.065834753538744E+01,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000, -7.350258621593904E+08, -3.546567024571450E+08,  1.788952551431276E+07,  3.779877701073393E+00, -2.185849900936963E+01, -5.054190484218424E-01,  2.722921996916396E+03,  8.163114783978347E+08,  6.082131315879199E+00,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000, -7.342994536037778E+08, -3.564940467434095E+08,  1.785304628351597E+07,  1.267083785757787E+01, -1.936037694022509E+01, -2.941971172340798E-01,  2.723408204140806E+03,  8.164572396567382E+08, -2.948816412462125E+00,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000, -7.329870865152684E+08, -3.578260961690878E+08,  1.784335331931984E+07,  1.645671217147630E+01, -1.090805712649069E+01,  7.467561374741383E-02,  2.721416905610338E+03,  8.158602633756769E+08, -9.999307372459038E+00,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000, -7.316893398786100E+08, -3.583826488423743E+08,  1.786272012308405E+07,  1.234333031547225E+01, -2.585592300727536E+00,  3.341318554387747E-01,  2.718345776685067E+03,  8.149395620863354E+08, -9.938017082295525E+00,
2457958.500000000, A.D. 2017-Jul-24 00:00:00.0000, -7.309997943419418E+08, -3.584566629485352E+08,  1.789221434682079E+07,  3.307764645917231E+00, -4.757574394742143E-01,  2.935130282376263E-01,  2.716391676397082E+03,  8.143537375578219E+08, -2.753330831979096E+00,
2457959.500000000, A.D. 2017-Jul-25 00:00:00.0000, -7.310675639280069E+08, -3.586933632870297E+08,  1.790546143684274E+07, -4.034722039128268E+00, -6.092274502491955E+00, -1.691035121373696E-02,  2.716943170258268E+03,  8.145190712580386E+08,  6.303854921489761E+00,
2457960.500000000, A.D. 2017-Jul-26 00:00:00.0000, -7.314902099337555E+08, -3.596154004888453E+08,  1.788801950208522E+07, -4.384525660536581E+00, -1.529977639172008E+01, -3.706267110662447E-01,  2.719562499657449E+03,  8.153043264569306E+08,  1.067410382864958E+01,
2457961.500000000, A.D. 2017-Jul-27 00:00:00.0000, -7.316127641239650E+08, -3.612472880584776E+08,  1.784762708609687E+07,  2.458175489375185E+00, -2.146851701879205E+01, -5.142574666752830E-01,  2.722331365150849E+03,  8.161344114490685E+08,  7.287810228636657E+00,
2457962.500000000, A.D. 2017-Jul-28 00:00:00.0000, -7.309974348538110E+08, -3.631052288693205E+08,  1.780837285582867E+07,  1.160160521449171E+01, -2.019119116082003E+01, -3.458497593393872E-01,  2.723239408172012E+03,  8.164066358983527E+08, -1.415196220914286E+00,
2457963.500000000, A.D. 2017-Jul-29 00:00:00.0000, -7.297334649478338E+08, -3.645416799403181E+08,  1.779356594148575E+07,  1.649485925357931E+01, -1.233041494952244E+01,  1.531365963768749E-02,  2.721601306680462E+03,  8.159155454257474E+08, -9.243147988231225E+00,
2457964.500000000, A.D. 2017-Jul-30 00:00:00.0000, -7.283789368808321E+08, -3.652079089591853E+08,  1.780901144938415E+07,  1.354842585865266E+01, -3.527717628290514E+00,  3.083723252238222E-01,  2.718557307762335E+03,  8.150029775079328E+08, -1.052087670262986E+01,
2457965.500000000, A.D. 2017-Jul-31 00:00:00.0000, -7.275615751642200E+08, -3.653135487461513E+08,  1.783847532950363E+07,  4.880895165866899E+00, -2.111489393571063E-01,  3.182419613289933E-01,  2.716281154040389E+03,  8.143206037888448E+08, -4.259181505694023E+00,
2457966.500000000, A.D. 2017-Aug-01 00:00:00.0000, -7.275167982777148E+08, -3.654776272517734E+08,  1.785543034465066E+07, -3.157764771020436E+00, -4.780065033406615E+00,  3.819733309363160E-02,  2.716394531996375E+03,  8.143545936449528E+08,  4.967143064989625E+00,
2457967.500000000, A.D. 2017-Aug-02 00:00:00.0000, -7.279166438552204E+08, -3.662725712206526E+08,  1.784256676908717E+07, -4.752289099416577E+00, -1.385405750625713E+01, -3.269570668509916E-01,  2.718775732887229E+03,  8.150684597130141E+08,  1.046267677470843E+01,
2457968.500000000, A.D. 2017-Aug-03 00:00:00.0000, -7.281152746554644E+08, -3.678112486189934E+08,  1.780416239472063E+07,  1.192898107934502E+00, -2.088861765003668E+01, -5.152028283117449E-01,  2.721674441325951E+03,  8.159374706408837E+08,  8.340502423700737E+00,
2457969.500000000, A.D. 2017-Aug-04 00:00:00.0000, -7.276133982442102E+08, -3.696733925615395E+08,  1.776271877339022E+07,  1.042443866213938E+01, -2.085615345998284E+01, -3.926898619961188E-01,  2.722984840218593E+03,  8.163303183458693E+08,  1.445842734883919E-01,
2457970.500000000, A.D. 2017-Aug-05 00:00:00.0000, -7.264119194831139E+08, -3.712054500929749E+08,  1.774294157017927E+07,  1.633511939308081E+01, -1.372863040852882E+01, -4.578023980683721E-02,  2.721732939334524E+03,  8.159550079026618E+08, -8.297878208847624E+00,
2457971.500000000, A.D. 2017-Aug-06 00:00:00.0000, -7.250165021791688E+08, -3.719865989640228E+08,  1.775405472002466E+07,  1.460809701571542E+01, -4.607684012118469E+00,  2.754427693690178E-01,  2.718778946865569E+03,  8.150694232394803E+08, -1.088523777005027E+01,
2457972.500000000, A.D. 2017-Aug-07 00:00:00.0000, -7.240773645087132E+08, -3.721394021705830E+08,  1.778281766599359E+07,  6.468588659482368E+00, -1.441033034661968E-01,  3.356571861349439E-01,  2.716227794628484E+03,  8.143046070395924E+08, -5.678665134559500E+00,
2457973.500000000, A.D. 2017-Aug-08 00:00:00.0000, -7.239119112958690E+08, -3.722451903748288E+08,  1.780304350985102E+07, -2.120068841305802E+00, -3.580810832700813E+00,  9.113330495614402E-02,  2.715899849930088E+03,  8.142062916923722E+08,  3.524051799369897E+00,
2457974.500000000, A.D. 2017-Aug-09 00:00:00.0000, -7.242727414489402E+08, -3.729158908332410E+08,  1.779486298704341E+07, -4.929306669483401E+00, -1.235711790412232E+01, -2.788492878926876E-01,  2.717992585365211E+03,  8.148336779924114E+08,  1.003071696982619E+01,
2457975.500000000, A.D. 2017-Aug-10 00:00:00.0000, -7.245346996345853E+08, -3.743506565025090E+08,  1.775901795188290E+07,  1.277394830666429E-02, -2.012734744994926E+01, -5.081895335601638E-01,  2.720959688295106E+03,  8.157231930729035E+08,  9.214407141445433E+00,
2457976.500000000, A.D. 2017-Aug-11 00:00:00.0000, -7.241462295986938E+08, -3.762001118569530E+08,  1.771602175664398E+07,  9.162174057786739E+00, -2.133668547761509E+01, -4.337138725852503E-01,  2.722643533648806E+03,  8.162279972103812E+08,  1.696126553843849E+00,
2457977.500000000, A.D. 2017-Aug-12 00:00:00.0000, -7.230203021627803E+08, -3.778167917193118E+08,  1.769151409313077E+07,  1.597756424049065E+01, -1.507422114566737E+01, -1.075309315818958E-01,  2.721803048383093E+03,  8.159760260666604E+08, -7.180004867660459E+00,
2457978.500000000, A.D. 2017-Aug-13 00:00:00.0000, -7.216008253868525E+08, -3.787159616566464E+08,  1.769795270915507E+07,  1.550222487184167E+01, -5.807462144201821E+00,  2.357703454201461E-01,  2.719001125023745E+03,  8.151360305756339E+08, -1.102008335143838E+01,
2457979.500000000, A.D. 2017-Aug-14 00:00:00.0000, -7.205480466350936E+08, -3.789308662470726E+08,  1.772534048693644E+07,  8.045779329268919E+00, -2.793368254076262E-01,  3.452645696758471E-01,  2.716228375390167E+03,  8.143047811475650E+08, -6.981908289998667E+00,
2457980.500000000, A.D. 2017-Aug-15 00:00:00.0000, -7.202555095196902E+08, -3.789939037848021E+08,  1.774833247466670E+07, -9.345584440347799E-01, -2.515438495593016E+00,  1.409396264258294E-01,  2.715464521713095E+03,  8.140757835761628E+08,  2.000990816422960E+00,
2457981.500000000, A.D. 2017-Aug-16 00:00:00.0000, -7.205615003404945E+08, -3.795452238790151E+08,  1.774485849979454E+07, -4.911694521878062E+00, -1.083273653524165E+01, -2.271507082094213E-01,  2.717223710196200E+03,  8.146031750155985E+08,  9.386976217061266E+00,
2457982.500000000, A.D. 2017-Aug-17 00:00:00.0000, -7.208730056697468E+08, -3.808671555118914E+08,  1.771209081938393E+07, -1.062776183731657E+00, -1.920002934365703E+01, -4.935306432578557E-01,  2.720197093857969E+03,  8.154945730121373E+08,  9.895891439719881E+00,
2457983.500000000, A.D. 2017-Aug-18 00:00:00.0000, -7.205958446025025E+08, -3.826875329903527E+08,  1.766818828935772E+07,  7.840133515644895E+00, -2.162761768938513E+01, -4.683730285876759E-01,  2.722218775874286E+03,  8.161006580331033E+08,  3.208889365387350E+00,
2457984.500000000, A.D. 2017-Aug-19 00:00:00.0000, -7.195567433115917E+08, -3.843764773576526E+08,  1.763926674345426E+07,  1.543537651688077E+01, -1.634239303029178E+01, -1.688200558984230E-01,  2.721806015813092E+03,  8.159769156797935E+08, -5.916804217031769E+00,
2457985.500000000, A.D. 2017-Aug-20 00:00:00.0000, -7.181298928109287E+08, -3.853943592821425E+08,  1.764078177432744E+07,  1.622005673889239E+01, -7.099626869837953E+00,  1.902475029754478E-01,  2.719213506261377E+03,  8.151997008688966E+08, -1.092811409825837E+01,
2457986.500000000, A.D. 2017-Aug-21 00:00:00.0000, -7.169734611942850E+08, -3.856846355857947E+08,  1.766615861906457E+07,  9.583217395726090E+00, -6.091286425137493E-01,  3.469716902811023E-01,  2.716276299167249E+03,  8.143191483344930E+08, -8.141588397769196E+00,
2457987.500000000, A.D. 2017-Aug-22 00:00:00.0000, -7.165498559384320E+08, -3.857210704935780E+08,  1.769135753048390E+07,  3.769868709614104E-01, -1.604668843840256E+00,  1.865526660260728E-01,  2.715091715569807E+03,  8.139640191061095E+08,  4.326051985139475E-01,
2457988.500000000, A.D. 2017-Aug-23 00:00:00.0000, -7.167859099525303E+08, -3.861602292106978E+08,  1.769251531630608E+07, -4.693460668955165E+00, -9.309788578585316E+00, -1.728754527907483E-01,  2.716479286725450E+03,  8.143800024735094E+08,  8.541734749267796E+00,
2457989.500000000, A.D. 2017-Aug-24 00:00:00.0000, -7.171316780627410E+08, -3.873622993159266E+08,  1.766329013870028E+07, -2.008071203259880E+00, -1.811892864893040E+01, -4.713758793495240E-01,  2.719395246314546E+03,  8.152541851661531E+08,  1.036525226007955E+01,
2457990.500000000, A.D. 2017-Aug-25 00:00:00.0000, -7.169613825858297E+08, -3.891372664526445E+08,  1.761915340682288E+07,  6.483740440904817E+00, -2.171846063854219E+01, -4.959724650815165E-01,  2.721711059969693E+03,  8.159484486340997E+08,  4.649965674922780E+00,
