*******************************************************************************
 Revised: Dec 12, 2013            Halimede / (Neptune)                      809
            http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
            http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 Irregular Neptunian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:36:30 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Halimede (809)                  {source: nep086}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.277259523356465E+09, -1.357055127429948E+09, -7.181839233628321E+07,  1.794718608902991E+00,  4.953564168382990E+00, -8.991133342787738E-01,  1.497019364855784E+04,  4.487951150637144E+09,  2.270056976821959E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.277414434875378E+09, -1.356627222181501E+09, -7.189605538292271E+07,  1.791196377435750E+00,  4.951651620761464E+00, -8.986393803342383E-01,  1.497025874909258E+04,  4.487970667286470E+09,  2.247680652341943E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.277569042126280E+09, -1.356199481734547E+09, -7.197367670498490E+07,  1.787675388779748E+00,  4.949749327727892E+00, -8.981475021187011E-01,  1.497032320429255E+04,  4.487989990469300E+09,  2.225273245944272E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.277723345221945E+09, -1.355771905200843E+09, -7.205125475759745E+07,  1.784155767669373E+00,  4.947857341134548E+00, -8.976377874268977E-01,  1.497038701327757E+04,  4.488009119921761E+09,  2.202835839466545E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.277877344285889E+09, -1.355344491687713E+09, -7.212878800351971E+07,  1.780637638059943E+00,  4.945975711674820E+00, -8.971103251101356E-01,  1.497045017519858E+04,  4.488028055389312E+09,  2.180369511461169E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.278031039452305E+09, -1.354917240298152E+09, -7.220627491323322E+07,  1.777121123127702E+00,  4.944104488883216E+00, -8.965652050762909E-01,  1.497051268923757E+04,  4.488046796626721E+09,  2.157875337188077E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.278184430865994E+09, -1.354490150130927E+09, -7.228371396503323E+07,  1.773606345269823E+00,  4.942243721135362E+00, -8.960025182898068E-01,  1.497057455460747E+04,  4.488065343398029E+09,  2.135354388607530E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.278337518682299E+09, -1.354063220280674E+09, -7.236110364512026E+07,  1.770093426104407E+00,  4.940393455647998E+00, -8.954223567717015E-01,  1.497063577055205E+04,  4.488083695476524E+09,  2.112807734372958E-01,
