*******************************************************************************
 Revised: Sep 29, 2017             Harpalyke / (Jupiter)                    522

 Recently discovered Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:10:31 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Harpalyke (522)                 {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.287095405422635E+08, -3.583889483173467E+08,  2.456420072936042E+07,  3.482936530510016E+00, -1.286190201619691E+01, -1.304230345850609E+00,  2.710018151110117E+03,  8.124430027459176E+08,  2.510301738280562E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.284086895453205E+08, -3.594987835914542E+08,  2.445097589645702E+07,  3.481246167588949E+00, -1.282867315455504E+01, -1.316687019685976E+00,  2.710742322939579E+03,  8.126601039986862E+08,  2.515108275400866E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.281079743520824E+08, -3.606057333828533E+08,  2.433668206863005E+07,  3.479793741343355E+00, -1.279510905771309E+01, -1.328975058811520E+00,  2.711467808997170E+03,  8.128775992471361E+08,  2.519421462359155E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.278073741929061E+08, -3.617097688978112E+08,  2.422133395967992E+07,  3.478584154604760E+00, -1.276121375534783E+01, -1.341091108106860E+00,  2.712194466641733E+03,  8.130954457285241E+08,  2.523238168419993E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.275068678776437E+08, -3.628108617029247E+08,  2.410494657488210E+07,  3.477622223020723E+00, -1.272699147937117E+01, -1.353031822734100E+00,  2.712922152364471E+03,  8.133136004199954E+08,  2.526555480595280E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.272064338034319E+08, -3.639089837315078E+08,  2.398753520420054E+07,  3.476912698543660E+00, -1.269244650341403E+01, -1.364793943672387E+00,  2.713650721835525E+03,  8.135320200525464E+08,  2.529370609243996E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.269060499578136E+08, -3.650041072924556E+08,  2.386911541851367E+07,  3.476460307888223E+00, -1.265758325951173E+01, -1.376374221954626E+00,  2.714380029940588E+03,  8.137506611220025E+08,  2.531680908095856E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.266056939223984E+08, -3.660962050843472E+08,  2.374970306846520E+07,  3.476269714345669E+00, -1.262240632329765E+01, -1.387769439645958E+00,  2.715109930827322E+03,  8.139694799029328E+08,  2.533483901712409E+00,
