*******************************************************************************
 Revised: Sep 29, 2017             Hegemone / (Jupiter)                     539
 Description: Apr 15, 2008   http://ssd.jpl.nasa.gov/?sat_elem 
  
 Irregular retrograde moon discovered in 2003 (IAUC 8088) by S. S. Sheppard 
 (University of Hawaii).  Initial designation S/2003J8. Named in March 2005
 (IAUC 8502).
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:25:41 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hegemone (539)                  {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.129386573987900E+08, -3.580044310360157E+08,  2.870126309487998E+07,  5.213352016947863E+00, -1.282555074068599E+01,  4.053828940636803E-01,  2.662820390468792E+03,  7.982934700711588E+08,  1.110417211793582E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.124879439633485E+08, -3.591119873752919E+08,  2.873608475707693E+07,  5.219837589982421E+00, -1.281232054273805E+01,  4.006756862096843E-01,  2.663141669894260E+03,  7.983897872198249E+08,  1.119128031776505E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.120366680522006E+08, -3.602183988322564E+08,  2.877050012627475E+07,  5.226372160191545E+00, -1.279904890173239E+01,  3.959779525866765E-01,  2.663465443920330E+03,  7.984868522309369E+08,  1.127728984182053E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.115848254642382E+08, -3.613236618433306E+08,  2.880451001865603E+07,  5.232954988601952E+00, -1.278573621282779E+01,  3.912896416281866E-01,  2.663791681003162E+03,  7.985846556478896E+08,  1.136220894729826E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.111324120611256E+08, -3.624277728789721E+08,  2.883811524640645E+07,  5.239585353187143E+00, -1.277238286866054E+01,  3.866107073883294E-01,  2.664120349833881E+03,  7.986831880845191E+08,  1.144604575140345E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.106794237669661E+08, -3.635307284432107E+08,  2.887131661742131E+07,  5.246262532207790E+00, -1.275898925240202E+01,  3.819410971127928E-01,  2.664451419337439E+03,  7.987824402247596E+08,  1.152880834348304E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.102258565677499E+08, -3.646325250726657E+08,  2.890411493500333E+07,  5.252985816156539E+00, -1.274555573590378E+01,  3.772807582832778E-01,  2.664784858670013E+03,  7.988824028218659E+08,  1.161050467181192E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.097717065102198E+08, -3.657331593357700E+08,  2.893651099799539E+07,  5.259754506965975E+00, -1.273208268429472E+01,  3.726296395559645E-01,  2.665120637215022E+03,  7.989830666972176E+08,  1.169114257129155E+00,
