*******************************************************************************
 Revised: Sep 29, 2017              Helike / (Jupiter)                      545

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:31:02 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Helike (545)                    {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.181115804875398E+08, -3.389133320144608E+08,  2.547038921974593E+07,  6.372855590131211E+00, -1.326815483327775E+01, -6.149136293085107E-01,  2.650093219764678E+03,  7.944779602823868E+08, -1.199893893333073E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.175611289608152E+08, -3.400595991559364E+08,  2.541691153974612E+07,  6.369070320031851E+00, -1.326577059679475E+01, -6.229843674949231E-01,  2.650062349442119E+03,  7.944687055925078E+08, -9.425040365267134E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.170110064199272E+08, -3.412056509325821E+08,  2.536273947245871E+07,  6.365240469822573E+00, -1.326316965355746E+01, -6.309873514927640E-01,  2.650038887550555E+03,  7.944616718943664E+08, -6.857801960087755E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.164612166427366E+08, -3.423514686496509E+08,  2.530787888598686E+07,  6.361367735085993E+00, -1.326035265411388E+01, -6.389222591632802E-01,  2.650022814487922E+03,  7.944568533114125E+08, -4.297505654779758E-02,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.159117632617413E+08, -3.434970336670045E+08,  2.525233567597879E+07,  6.357453804892581E+00, -1.325732023237462E+01, -6.467887674963944E-01,  2.650014109842513E+03,  7.944542437243689E+08, -1.744432268971218E-02,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.153626497628016E+08, -3.446423274009786E+08,  2.519611576614551E+07,  6.353500375004503E+00, -1.325407305983913E+01, -6.545865550136885E-01,  2.650012752395462E+03,  7.944538367719808E+08,  8.011396559132140E-03,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.148138794865886E+08, -3.457873313265318E+08,  2.513922510717091E+07,  6.349509109863644E+00, -1.325061181741285E+01, -6.623153183731159E-01,  2.650018720131782E+03,  7.944556258543210E+08,  3.338936044526473E-02,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.142654556306345E+08, -3.469320269775074E+08,  2.508166967561843E+07,  6.345481663890463E+00, -1.324693718974867E+01, -6.699747591507110E-01,  2.650031990250538E+03,  7.944596041358408E+08,  5.868685177437969E-02,
