*******************************************************************************
 Revised: Sep 29, 2017            Hermippe / (Jupiter)                      530
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:16:57 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hermippe (530)                  {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.551045302018634E+08, -3.608518194962367E+08,  2.167271093597858E+07,  3.989619118982240E+00, -9.876250664590444E+00, -1.101163218883870E+00,  2.792524403860382E+03,  8.371777550582886E+08,  6.299956685088930E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.547586016947212E+08, -3.617042489979657E+08,  2.157742285580686E+07,  4.018002489998066E+00, -9.855924145658529E+00, -1.104567691436065E+00,  2.792702703887564E+03,  8.372312080616988E+08,  6.073280251409794E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.544102163936751E+08, -3.625549250035291E+08,  2.148184366385269E+07,  4.046489268760626E+00, -9.835660637872200E+00, -1.107901855802209E+00,  2.792874458783460E+03,  8.372826988841131E+08,  5.845750619648714E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.540593653824279E+08, -3.634038529973458E+08,  2.138597944994420E+07,  4.075079056134348E+00, -9.815461060574957E+00, -1.111165366530382E+00,  2.793039644164991E+03,  8.373322202156681E+08,  5.617381851031681E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.537060397768236E+08, -3.642510385426199E+08,  2.128983633308600E+07,  4.103771478827541E+00, -9.795326339358251E+00, -1.114357884793163E+00,  2.793198236046675E+03,  8.373797648656967E+08,  5.388187826673497E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.533502307269944E+08, -3.650964872841583E+08,  2.119342046210378E+07,  4.132566120161609E+00, -9.775257428907729E+00, -1.117479061219425E+00,  2.793350210852012E+03,  8.374253257661431E+08,  5.158182975623118E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.529919294194655E+08, -3.659402049488398E+08,  2.109673801590280E+07,  4.161462560078855E+00, -9.755255272201717E+00, -1.120528550429190E+00,  2.793495545421327E+03,  8.374688959739100E+08,  4.927381733616201E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.526311270768450E+08, -3.667821973449083E+08,  2.099979520303090E+07,  4.190460379970547E+00, -9.735320814708714E+00, -1.123506010247259E+00,  2.793634217010576E+03,  8.375104686705060E+08,  4.695798561516781E-01,
