*******************************************************************************
 Revised: Sep 29, 2017          Herse (2003J17) / (Jupiter)                 550

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:35:42 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Herse (550)                     {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.374338670820791E+08, -3.615192011927533E+08,  2.252131179837812E+07,  2.465851171076454E+00, -1.169339300717982E+01,  1.399655517715255E-01,  2.740533152466479E+03,  8.215911700084146E+08,  2.935932408159362E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.372202245427235E+08, -3.625277410138755E+08,  2.253299782884997E+07,  2.479657809106994E+00, -1.165245167330575E+01,  1.305467595104624E-01,  2.741376904627464E+03,  8.218441205426990E+08,  2.919318451584485E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.370053684846020E+08, -3.635327476413959E+08,  2.254387071958493E+07,  2.493941086261064E+00, -1.161160753847638E+01,  1.211432845304321E-01,  2.742215795147210E+03,  8.220956135936064E+08,  2.902196074070739E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.367892579422665E+08, -3.645342298376867E+08,  2.255393189967892E+07,  2.508695913013469E+00, -1.157086898833155E+01,  1.117575578030801E-01,  2.743049678999208E+03,  8.223456056832836E+08,  2.884575744086582E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.365718524033370E+08, -3.655321970765052E+08,  2.256318300398944E+07,  2.523916971146368E+00, -1.153024410996768E+01,  1.023919136362794E-01,  2.743878414197156E+03,  8.225940542453074E+08,  2.866468021391458E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.363531118169487E+08, -3.665266595208063E+08,  2.257162586656122E+07,  2.539598880445783E+00, -1.148974078546441E+01,  9.304863666404817E-02,  2.744701861792542E+03,  8.228409176239625E+08,  2.847883447816372E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.361329966039943E+08, -3.675176280069528E+08,  2.257926251736331E+07,  2.555736090134597E+00, -1.144936671398012E+01,  8.372997401361104E-02,  2.745519885886735E+03,  8.230861550778638E+08,  2.828832652624969E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.359114676721014E+08, -3.685051140267652E+08,  2.258609517792575E+07,  2.572322897031861E+00, -1.140912936343252E+01,  7.443810977477039E-02,  2.746332353653290E+03,  8.233297267866452E+08,  2.809326311824238E+00,
