*******************************************************************************
 Revised: Sep 13, 2016           Himalia  / (Jupiter)                       506

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 85 +- 10         Density (g cm^-3)   =              
  Mass (10^20 kg )        =                  Geometric Albedo    =  0.03
                                             V(1,0)              = +8.14

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11480 (10^3)     Orbital period      = 250.5662 d
  Eccentricity, e         =   0.163          Rotational period   = 0.4 d 
  Inclination, i  (deg)   =  27.5 (inv pln)  Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 11:52:32 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Himalia (506)                   {source: jup340_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.359638377503921E+08, -3.553630381941728E+08,  1.250691033068760E+07,  8.068224604176390E+00, -9.971028296367564E+00, -6.762090869850610E-01,  2.726429104533615E+03,  8.173628828108714E+08, -2.939996384905949E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.352666623051993E+08, -3.562215342779246E+08,  1.244980918760337E+07,  8.069859668045179E+00, -9.901593436502306E+00, -6.454918649177759E-01,  2.725579642339047E+03,  8.171082204515840E+08, -2.954779021637903E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.345694070260181E+08, -3.570740385982326E+08,  1.239538393323013E+07,  8.070070184273023E+00, -9.832334302899991E+00, -6.142678856633705E-01,  2.724726082231777E+03,  8.168523295689741E+08, -2.968430584136875E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.338721956338866E+08, -3.579205674650260E+08,  1.234367815702716E+07,  8.068841225479249E+00, -9.763277253893778E+00, -5.825418174105699E-01,  2.723868753587238E+03,  8.165953089073143E+08, -2.980927239584534E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.331751531596359E+08, -3.587611395103813E+08,  1.229473502541704E+07,  8.066157502535834E+00, -9.694449482637189E+00, -5.503185901260070E-01,  2.723007992793062E+03,  8.163372593130783E+08, -2.992244335772827E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.324784059523687E+08, -3.595957757381603E+08,  1.224859727879016E+07,  8.062003818174372E+00, -9.625878781874359E+00, -5.176032257798115E-01,  2.722144143385549E+03,  8.160782837758583E+08, -3.002356906147498E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.317820816713563E+08, -3.604244995970170E+08,  1.220530720257866E+07,  8.056365007736449E+00, -9.557593986316013E+00, -4.844012567929723E-01,  2.721277556170349E+03,  8.158184874645419E+08, -3.011239424077761E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.310863092901078E+08, -3.612473370709081E+08,  1.216490658552356E+07,  8.049225813607293E+00, -9.489624907758619E+00, -4.507186031189998E-01,  2.720408589406149E+03,  8.155579777823818E+08, -3.018865711278125E+00,
