*******************************************************************************
 Revised: Nov 05, 2015            Hydra / (Pluto)                           903

 Fit to all available observations including New Horizons encounter tracking.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 12:50:47 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hydra (903)                     {source: plu055l_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  1.532620658691256E+09, -4.748895846515991E+09,  6.488681166244960E+07,  5.360213222920406E+00,  6.320495236278516E-01, -1.560835076612919E+00,  1.664653551858327E+04,  4.990505800300383E+09,  1.024416913998796E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  1.533084131227114E+09, -4.748841328843913E+09,  6.475116419306445E+07,  5.367932713731578E+00,  6.295085820745197E-01, -1.579158132345410E+00,  1.664683144567650E+04,  4.990594517011052E+09,  1.029497336333823E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  1.533548166980067E+09, -4.748787143960139E+09,  6.461393415709400E+07,  5.373219379920652E+00,  6.243097800213004E-01, -1.597471520505799E+00,  1.664712909056507E+04,  4.990683748703806E+09,  1.036362513522298E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  1.534012555692119E+09, -4.748733526598649E+09,  6.447511472478056E+07,  5.376170658280010E+00,  6.164313979214844E-01, -1.615970028251275E+00,  1.664742898322886E+04,  4.990773654262622E+09,  1.045059414339353E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  1.534477111992565E+09, -4.748680676428610E+09,  6.433471199550533E+07,  5.377081158362927E+00,  6.067175207050202E-01, -1.633830744750359E+00,  1.664773156811419E+04,  4.990864366929146E+09,  1.054885042495807E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  1.534941642809067E+09, -4.748628729527898E+09,  6.419284496758652E+07,  5.375502301321046E+00,  5.954730339878451E-01, -1.649808021785243E+00,  1.664803708450344E+04,  4.990955958438440E+09,  1.065426373258322E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  1.535405923707060E+09, -4.748577828835594E+09,  6.404967591387272E+07,  5.371327777797693E+00,  5.825094295581378E-01, -1.664008428560652E+00,  1.664834576280699E+04,  4.991048497865790E+09,  1.076827429676616E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  1.535869742119213E+09, -4.748528111767767E+09,  6.390535589964128E+07,  5.364859724275639E+00,  5.681746971572241E-01, -1.676401560213725E+00,  1.664865782723712E+04,  4.991142052428357E+09,  1.088849226080928E+00,
