 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:17 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
JPL/HORIZONS                      10 Hygiea                2017-Jul-31 11:18:16
Rec #:    10 (+COV)   Soln.date: 2017-Apr-05_16:15:18   # obs: 3205 (1849-2016)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2451472.5 ! 1999-Oct-21.00 (TDB)         Residual RMS= .19982        
   EC= .1194544268557199   QR= 2.763391998206685   TP= 2451662.3989727627      
   OM= 283.6672869575922   W=  314.3981770799839   IN= 3.842604862097326       
   A= 3.138272546574821    MA= 326.3340632698365   ADIST= 3.513153094942957    
   PER= 5.55961            N= .177283401           ANGMOM= .030255609          
   DAN= 2.85489            DDN= 3.37561            L= 238.1299368              
   B= -2.744513            MOID= 1.75396001        TP= 2000-Apr-27.8989727627  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 7.                  RAD= 203.56             ROTPER= 27.63               
   H= 5.43                 G= .150                 B-V= .696                   
                           ALBEDO= .0717           STYP= C                     
 
ASTEROID comments: 
1: soln ref.= JPL#86, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:16 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: 10 Hygiea                       {source: JPL#86}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451472.5 ! 1999-Oct-21.00 (TDB)         Residual RMS= .19982        
   EC= .1194544268557199   QR= 2.763391998206685   TP= 2451662.3989727627      
   OM= 283.6672869575922   W=  314.3981770799839   IN= 3.842604862097326       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.729075228056256E+00  Y=-6.318415330288718E-01  Z=-4.814092059781990E-01
  VX= 3.647789490662312E-03 VY=-9.234328850804019E-03 VZ=-3.917594783341073E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 7.                  RAD= 203.56             ROTPER= 27.63               
   H= 5.43                 G= .150                 B-V= .696                   
                           ALBEDO= .0717           STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  7.583181929434516E+07, -4.219935014022424E+08, -1.577800206083953E+06,  1.817330934654412E+01,  1.883428078997614E+00,  1.214375268171725E+00,  1.430175146057041E+03,  4.287557224069491E+08,  1.356027753611290E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  7.740151759732878E+07, -4.218281301358196E+08, -1.472868647671729E+06,  1.816226314244416E+01,  1.944598233221872E+00,  1.214593430583729E+00,  1.430566674547091E+03,  4.288730996953584E+08,  1.361035601143695E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  7.897025208717874E+07, -4.216574769587741E+08, -1.367918903471798E+06,  1.815099894607624E+01,  2.005694386461347E+00,  1.214796239092568E+00,  1.430959643261761E+03,  4.289909087522463E+08,  1.366022386873481E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  8.053800395241508E+07, -4.214815483015714E+08, -1.262952299120396E+06,  1.813951729164298E+01,  2.066715688025109E+00,  1.214983715532109E+00,  1.431354046124641E+03,  4.291091477559514E+08,  1.370988066418329E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  8.210475442786601E+07, -4.213003506679932E+08, -1.157970158354402E+06,  1.812781871688702E+01,  2.127661291472641E+00,  1.215155882032058E+00,  1.431749877046622E+03,  4.292278148810045E+08,  1.375932596020905E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  8.367048479497242E+07, -4.211138906347694E+08, -1.052973802986026E+06,  1.811590376305458E+01,  2.188530354627960E+00,  1.215312761015824E+00,  1.432147129926072E+03,  4.293469082981825E+08,  1.380855932547297E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  8.523517638208891E+07, -4.209221748512095E+08, -9.479645528774559E+05,  1.810377297485938E+01,  2.249322039592786E+00,  1.215454375198348E+00,  1.432545798649021E+03,  4.294664261745631E+08,  1.385758033486068E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  8.679881056478180E+07, -4.207252100388317E+08, -8.429437259158194E+05,  1.809142690044640E+01,  2.310035512759376E+00,  1.215580747583964E+00,  1.432945877089333E+03,  4.295863666735771E+08,  1.390638856947275E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  8.836136876612411E+07, -4.205230029909925E+08, -7.379126379881501E+05,  1.807886609135573E+01,  2.370669944823552E+00,  1.215691901464199E+00,  1.433347359108891E+03,  4.297067279550632E+08,  1.395498361660952E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  8.992283245698726E+07, -4.203155605725137E+08, -6.328726029569805E+05,  1.806609110248635E+01,  2.431224510796853E+00,  1.215787860415616E+00,  1.433750238557772E+03,  4.298275081753207E+08,  1.400336506976099E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  9.148318315632974E+07, -4.201028897193095E+08, -5.278249326353967E+05,  1.805310249205984E+01,  2.491698390018535E+00,  1.215868648297651E+00,  1.434154509274427E+03,  4.299487054871644E+08,  1.405153252859417E+00,
