            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.318508825514914E+08, -1.495390248542977E+09,  3.063006772844243E+07,  5.953184713683664E+00, -1.339859635162347E+00,  3.949943191638543E-01,  5.008478886983168E+03,  1.501504196369788E+09,  8.196973941670627E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.313338638238233E+08, -1.495516464497290E+09,  3.066612627574682E+07,  6.018022833577195E+00, -1.580924621774346E+00,  4.388475265371237E-01,  5.008749505646584E+03,  1.501585325804075E+09,  1.057140301030556E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.308104283891758E+08, -1.495663259097709E+09,  3.070575143791467E+07,  6.101601332650747E+00, -1.815977588655182E+00,  4.775233969874835E-01,  5.009087488087028E+03,  1.501686650390656E+09,  1.286953299307368E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.302789891083934E+08, -1.495830051936872E+09,  3.074848827821732E+07,  6.203163159553191E+00, -2.043620461467850E+00,  5.108518596540175E-01,  5.009490445466885E+03,  1.501807453974032E+09,  1.507833105863199E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.297380281583009E+08, -1.496016145293905E+09,  3.079386875666898E+07,  6.321862547453448E+00, -2.262536346726019E+00,  5.386994649190306E-01,  5.009955626055855E+03,  1.501946911606213E+09,  1.718565112720005E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.291861042483824E+08, -1.496220731329661E+09,  3.084141483806717E+07,  6.456775331145382E+00, -2.471493808866193E+00,  5.609680750202891E-01,  5.010479941243349E+03,  1.502104097345039E+09,  1.918026638330641E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.286218589750555E+08, -1.496442899625221E+09,  3.089064148552191E+07,  6.606908565060680E+00, -2.669350174841572E+00,  5.775935132514508E-01,  5.011059992406886E+03,  1.502277992309121E+09,  2.105189255498424E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.280440223608723E+08, -1.496681644947402E+09,  3.094105953067869E+07,  6.771209817382377E+00, -2.855053632223254E+00,  5.885440638737396E-01,  5.011692098258857E+03,  1.502467492876200E+09,  2.279119926770215E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -1.274514176089640E+08, -1.496935875166521E+09,  3.099217841386443E+07,  6.948575945098731E+00, -3.027644701016751E+00,  5.938190172450134E-01,  5.012372322427042E+03,  1.502671418951571E+09,  2.438981546031209E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -1.268429651479326E+08, -1.497204419275272E+09,  3.104350881443262E+07,  7.137860605239367E+00, -3.186257046519268E+00,  5.934476524717709E-01,  5.013096501117431E+03,  1.502888522261194E+09,  2.584032925211152E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000, -1.262176861090568E+08, -1.497486035428623E+09,  3.109456522551709E+07,  7.337879803269098E+00, -3.330116996803873E+00,  5.874890110073523E-01,  5.013860270632552E+03,  1.503117494601478E+09,  2.713627656762642E+00,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000, -1.255747054278432E+08, -1.497779418850332E+09,  3.114486854604846E+07,  7.547414892958001E+00, -3.458540636237004E+00,  5.760323970771870E-01,  5.014659094286300E+03,  1.503356975908144E+09,  2.827210771417827E+00,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000, -1.249132547178938E+08, -1.498083209291860E+09,  3.119394864243406E+07,  7.765216543332337E+00, -3.570926549262788E+00,  5.591952026635580E-01,  5.015488287703062E+03,  1.503605561840712E+09,  2.924310903784100E+00,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000, -1.242326744447978E+08, -1.498395997952120E+09,  3.124134649074554E+07,  7.990016846621995E+00, -3.666752665332145E+00,  5.371159591774061E-01,  5.016343042033192E+03,  1.503861810742327E+09,  3.004535756550089E+00,
