 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:16 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016             Iapetus / (Saturn)                       608
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)            = 734.5    +- 4.0    Density (g/cm^3)=  1.088 +- 0.018 
  Mass (10^19 kg)        = 180.59             Geometric Albedo=  0.6
  GM (km^3/s^2)          = 120.51   +- 0.03   V(1,0)          =   +1.5 (.7-2.5)

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km)= 3560.84 (10^3)     Orbital period    = 79.33 d
  Eccentricity, e        =     0.0283         Rotational period = Synchronous
  Inclination, i  (deg)  =     7.489
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:15 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Iapetus (608)                   {source: sat389}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.314465773643394E+08, -1.494617827544740E+09,  3.060895499720353E+07,  5.945417288122272E+00, -1.329522436557747E+00,  3.951682454879426E-01,  5.005793121727504E+03,  1.500699024202181E+09,  8.114344380035335E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.309302302904752E+08, -1.494743150799170E+09,  3.064502858465272E+07,  6.010242727037580E+00, -1.570597467997621E+00,  4.390217510396761E-01,  5.006061362528767E+03,  1.500779440771328E+09,  1.048902413601912E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.304074676027788E+08, -1.494889053566689E+09,  3.068466881255656E+07,  6.093808602591971E+00, -1.805660458522514E+00,  4.776979157378596E-01,  5.006396974896233E+03,  1.500880054827906E+09,  1.278744362113865E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.298767021571769E+08, -1.495054955437956E+09,  3.072742074385792E+07,  6.195357862303098E+00, -2.033313330375196E+00,  5.110266689911942E-01,  5.006797571079739E+03,  1.501000150542425E+09,  1.499656781081601E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.293364161256866E+08, -1.495240158689833E+09,  3.077281633826679E+07,  6.314044737938790E+00, -2.252239186925094E+00,  5.388745614565278E-01,  5.007260400370887E+03,  1.501138903273252E+09,  1.710424827385059E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.287851682131147E+08, -1.495443855480649E+09,  3.082037756029993E+07,  6.448945062674381E+00, -2.461206589736713E+00,  5.611434556466537E-01,  5.007782375111258E+03,  1.501295387363682E+09,  1.909925571143123E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.282216000113491E+08, -1.495665135388726E+09,  3.086961937281024E+07,  6.599065889150628E+00, -2.659072863155352E+00,  5.777691751273433E-01,  5.008360097557368E+03,  1.501468584195843E+09,  2.097130326040403E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.276444415385735E+08, -1.495902993177906E+09,  3.092005260720956E+07,  6.763354783625471E+00, -2.844786192397098E+00,  5.887200044264876E-01,  5.008989887224633E+03,  1.501657390388216E+09,  2.271105786987130E+00,
