*******************************************************************************
JPL/HORIZONS                       243 Ida                 2017-Nov-12 06:31:28
Rec #:   243 (+COV)   Soln.date: 2017-Jul-11_12:44:44   # obs: 3209 (1885-2017)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2452701.5 ! 2003-Mar-03.00 (TDB)         Residual RMS= .29612        
   EC= .04669346295190312  QR= 2.72663902112987    TP= 2452097.29642571        
   OM= 324.2086961832171   W=  109.0758379936017   IN= 1.138068570945328       
   A= 2.860191255556557    MA= 123.1104027762954   ADIST= 2.993743489983244    
   PER= 4.83728            N= .20375649            ANGMOM= .02906063           
   DAN= 2.89818            DDN= 2.81106            L= 73.2880258               
   B= 1.075566             MOID= 1.74030006        TP= 2001-Jul-06.7964257100  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .00275              RAD= 16.                ROTPER= 4.634               
   H= 9.94                 G= .150                 B-V= .802                   
                           ALBEDO= .262            STYP= S                     
 
ASTEROID comments: 
1: soln ref.= JPL#139, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 06:31:28 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 243 Ida                         {source: JPL#139}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452701.5 ! 2003-Mar-03.00 (TDB)         Residual RMS= .29612        
   EC= .04669346295190312  QR= 2.72663902112987    TP= 2452097.29642571        
   OM= 324.2086961832171   W=  109.0758379936017   IN= 1.138068570945328       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.746831175035804E+00  Y=-9.343823327014349E-01  Z=-4.581450372130182E-01
  VX= 3.150233019006619E-03 VY=-8.565356536134390E-03 VZ=-3.838484642821478E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .00275              RAD= 16.                ROTPER= 4.634               
   H= 9.94                 G= .150                 B-V= .802                   
                           ALBEDO= .262            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -4.295458787879875E+08, -6.067839410065125E+07, -5.991390542140540E+06,  1.781394912579915E+00, -1.725222191795505E+01, -2.545991592418977E-01,  1.447173992211931E+03,  4.338518482788875E+08,  6.526921150043641E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -4.293893700543317E+08, -6.216861355914742E+07, -6.013351628057260E+06,  1.841484719757407E+00, -1.724356471478049E+01, -2.537588519458049E-01,  1.447361969000662E+03,  4.339082023024283E+08,  6.517979772191258E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -4.292276715721154E+08, -6.365807618334807E+07, -6.035239992595747E+06,  1.901527870665459E+00, -1.723470264995715E+01, -2.529157960033510E-01,  1.447549687068372E+03,  4.339644787633580E+08,  6.508966869012655E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -4.290607874010440E+08, -6.514676428474119E+07, -6.057055398791123E+06,  1.961523703454409E+00, -1.722563599079102E+01, -2.520700034115402E-01,  1.447737144356047E+03,  4.340206770444002E+08,  6.499882603128456E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -4.288887216579370E+08, -6.663466019798887E+07, -6.078797610715609E+06,  2.021471557871497E+00, -1.721636500641116E+01, -2.512214861795297E-01,  1.447924338809365E+03,  4.340767965296842E+08,  6.490727137359209E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -4.287114785165916E+08, -6.812174628108430E+07, -6.100466393479511E+06,  2.081370775264062E+00, -1.720688996776040E+01, -2.503702563284120E-01,  1.448111268378698E+03,  4.341328366047475E+08,  6.481500634711711E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -4.285290622076426E+08, -6.960800491550826E+07, -6.122061513232265E+06,  2.141220698581195E+00, -1.719721114758581E+01, -2.495163258910953E-01,  1.448297931019119E+03,  4.341887966565360E+08,  6.472203258380059E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -4.283414770184246E+08, -7.109341850638436E+07, -6.143582737163480E+06,  2.201020672377857E+00, -1.718732882042979E+01, -2.486597069120524E-01,  1.448484324690405E+03,  4.342446760734066E+08,  6.462835171722657E-01,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -4.281487272928339E+08, -7.257796948263401E+07, -6.165029833503868E+06,  2.260770042816605E+00, -1.717724326262080E+01, -2.478004114472103E-01,  1.448670447357047E+03,  4.343004742451286E+08,  6.453396538261964E-01,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -4.279508174311882E+08, -7.406164029713017E+07, -6.186402571526289E+06,  2.320468157670050E+00, -1.716695475226412E+01, -2.469384515637838E-01,  1.448856296988246E+03,  4.343561905628843E+08,  6.443887521676620E-01,
