 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:16 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016             Io  / (Jupiter)                          501

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1821.3 +- 0.2   Density (g cm^-3)   =  3.530 +-.006
  Mass (10^20 kg )        =  893.3 +- 1.5   Geometric Albedo    =  0.6  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 421.769 (10^3)  Orbital period      = 1.769138 d
  Eccentricity, e         = 0.0041          Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.036
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:16 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Io (501)                        {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.385268590828916E+08, -3.440456136791968E+08,  1.794975222338420E+07, -8.622260283353139E+00, -2.135923433808450E+01, -6.327581063512024E-01,  2.718315097861724E+03,  8.149303648064767E+08,  1.681734345836066E+01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.374524172042845E+08, -3.455722727575582E+08,  1.793217972140235E+07,  1.430423087783778E+01,  3.715353047471829E+00,  5.838994815100922E-01,  2.717222673521108E+03,  8.146028642282244E+08, -1.451276758593296E+01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.377667647215488E+08, -3.462712229303162E+08,  1.792431261756746E+07,  3.224928775890612E+00, -2.831982643467476E+01, -7.143612998830857E-01,  2.719160900734733E+03,  8.151839301287595E+08,  9.095237226806947E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.364763488811625E+08, -3.471740355178401E+08,  1.793185904822522E+07,  5.208780509739013E-01,  5.493702967335483E+00,  4.501808333710142E-01,  2.716548889023782E+03,  8.144008687176087E+08, -2.803057932200125E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.367374429826654E+08, -3.485278937104815E+08,  1.790128503702550E+07,  1.644113809801265E+01, -2.451662863360209E+01, -3.934282520229662E-01,  2.719261904345837E+03,  8.152142102495992E+08, -4.385492708339534E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.357537961120359E+08, -3.488493422626266E+08,  1.792503117241848E+07, -1.007701667050979E+01, -3.422622245613448E+00, -1.911975782132491E-02,  2.716757857737062E+03,  8.144635159618082E+08,  1.056872394779708E+01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.354968329699463E+08, -3.506129864610304E+08,  1.788705978790842E+07,  2.277408381591253E+01, -1.225244810688030E+01,  1.311771612235137E-01,  2.718506456639187E+03,  8.149877327247325E+08, -1.527882227481800E+01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.351451165794575E+08, -3.507626307856764E+08,  1.790781980191246E+07, -1.073169899072400E+01, -1.718932862347274E+01, -5.202380040377141E-01,  2.717664117541619E+03,  8.147352058162030E+08,  1.707231233818523E+01,
