*******************************************************************************
 Revised: Sep 29, 2017              Iocaste  / (Jupiter)                    524

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:12:04 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Iocaste (524)                   {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.198904129056166E+08, -3.540304405394000E+08,  1.671582321426345E+07,  3.971033677040315E+00, -1.281070947032751E+01,  1.212838562775652E+00,  2.676546189922558E+03,  8.024083612274185E+08,  2.114815499158916E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.195475937746537E+08, -3.551364357943779E+08,  1.682065904348332E+07,  3.964589245992236E+00, -1.279098729414948E+01,  1.213895476934651E+00,  2.677158002821698E+03,  8.025917781202878E+08,  2.130913316373968E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.192053327332547E+08, -3.562407152956246E+08,  1.692558064933333E+07,  3.958115342883819E+00, -1.277099261120001E+01,  1.214823801545847E+00,  2.677774426710248E+03,  8.027765773530061E+08,  2.146813356941812E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.188636322165229E+08, -3.573432554116977E+08,  1.703057683529615E+07,  3.951614597325056E+00, -1.275072342005991E+01,  1.215621531753542E+00,  2.678395403923676E+03,  8.029627416381814E+08,  2.162510959826160E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.185224944244987E+08, -3.584440323405153E+08,  1.713563623042056E+07,  3.945089765995494E+00, -1.273017776691628E+01,  1.216286636336114E+00,  2.679020875434736E+03,  8.031502532798913E+08,  2.178001376457236E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.181819213189851E+08, -3.595430221114580E+08,  1.724074728738052E+07,  3.938543618166483E+00, -1.270935369828590E+01,  1.216817064011549E+00,  2.679650780848708E+03,  8.033390941722534E+08,  2.193279852990088E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.178419146187578E+08, -3.606402005849171E+08,  1.734589828072323E+07,  3.931979019403737E+00, -1.268824926045684E+01,  1.217210742368679E+00,  2.680285058390157E+03,  8.035292457954586E+08,  2.208341555508290E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.175024757907106E+08, -3.617355434534371E+08,  1.745107730497164E+07,  3.925398926064484E+00, -1.266686252353811E+01,  1.217465576605099E+00,  2.680923644880076E+03,  8.037206892089170E+08,  2.223181586300547E+00,
