*******************************************************************************
 Revised: Sep 29, 2017                Isonoe / (Jupiter)                    526

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:13:32 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Isonoe (526)                    {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.287645528677802E+08, -3.619100980231543E+08,  1.263064386780962E+07,  3.316037841070992E+00, -1.275605279480802E+01, -2.302426247947347E-01,  2.714474486307970E+03,  8.137789784285535E+08,  2.699781425249334E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.284778870721185E+08, -3.630109441304074E+08,  1.261102498545828E+07,  3.319787847149315E+00, -1.272648408738333E+01, -2.239008114305685E-01,  2.715252744675143E+03,  8.140122944174074E+08,  2.700987889192703E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.281908860479956E+08, -3.641092324664264E+08,  1.259195334164910E+07,  3.323797567044923E+00, -1.269684570507061E+01, -2.175751824502514E-01,  2.716031295772740E+03,  8.142456981646346E+08,  2.701813417547540E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.279035274070076E+08, -3.652049571646479E+08,  1.257342750638862E+07,  3.328065809007825E+00, -1.266714122235482E+01, -2.112664805106910E-01,  2.716810030299049E+03,  8.144791569024065E+08,  2.702261393996209E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.276157888673453E+08, -3.662981126681764E+08,  1.255544598528764E+07,  3.332591302095251E+00, -1.263737418425649E+01, -2.049754343374426E-01,  2.717588839942538E+03,  8.147126381597421E+08,  2.702335280457974E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.273276482586673E+08, -3.673886937209576E+08,  1.253800722302821E+07,  3.337372743781661E+00, -1.260754802311237E+01, -1.987027322213288E-01,  2.718367617389123E+03,  8.149461097646887E+08,  2.702038536612190E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.270390835240285E+08, -3.684766953617470E+08,  1.252110960520202E+07,  3.342408808606623E+00, -1.257766613732349E+01, -1.924490558648930E-01,  2.719146256324460E+03,  8.151795398450078E+08,  2.701374646092197E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.267500727227354E+08, -3.695621129211549E+08,  1.250475145903347E+07,  3.347698129350100E+00, -1.254773187572470E+01, -1.862150707728851E-01,  2.719924651443323E+03,  8.154128968309870E+08,  2.700347125709553E+00,
