*******************************************************************************
JPL/HORIZONS              25143 Itokawa (1998 SF36)        2017-Nov-12 06:34:30
Rec #: 25143 (+COV)   Soln.date: 2017-Apr-06_09:47:52    # obs: 840 (1998-2016)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2453748.5 ! 2006-Jan-13.00 (TDB)         Residual RMS= .27655        
   EC= .2801051487649423   QR= .953021074539942    TP= 2453701.7156490982      
   OM= 69.09481296458259   W=  162.7512177574147   IN= 1.622256700416344       
   A= 1.323833713916596    MA= 30.27293488169848   ADIST= 1.694646353293251    
   PER= 1.52321            N= .647073935           ANGMOM= .019000084          
   DAN= 1.6655             DDN= .96249             L= 231.8525342              
   B= .4809749             MOID= .0126928          TP= 2005-Nov-27.2156490982  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 2.1E-9              RAD= .165               ROTPER= 12.132              
   H= 19.2                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= S(IV)                 
 
ASTEROID comments: 
1: soln ref.= JPL#185, PHA  OCC=0       radar(19 delay,18 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 06:34:30 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 25143 Itokawa (1998 SF36)       {source: JPL#185}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453748.5 ! 2006-Jan-13.00 (TDB)         Residual RMS= .27655        
   EC= .2801051487649423   QR= .953021074539942    TP= 2453701.7156490982      
   OM= 69.09481296458259   W=  162.7512177574147   IN= 1.622256700416344       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.615833038314039E-01  Y=-9.193236463464964E-01  Z=-4.172371710236429E-01
  VX= 1.849963299397702E-02 VY= 1.306478550003782E-03 VZ= 4.636933975862758E-05
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 2.1E-9              RAD= .165               ROTPER= 12.132              
   H= 19.2                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= S(IV)                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.800846540464971E+07,  2.394502889085207E+08,  1.132606347062051E+06, -2.049991862044305E+01,  6.176443540023400E-01,  5.481493675357287E-01,  8.146242782739729E+02,  2.442182147302304E+08, -3.421750004803585E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.623565472018418E+07,  2.394954416482703E+08,  1.179926228976265E+06, -2.053715310283182E+01,  4.274360603644973E-01,  5.472114148967180E-01,  8.136311010908672E+02,  2.439204677012775E+08, -3.470533123444949E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.445968224197704E+07,  2.395241287912845E+08,  1.227163291101784E+06, -2.057310655416568E+01,  2.364962239254162E-01,  5.462321963103693E-01,  8.126238726839767E+02,  2.436185082214084E+08, -3.519260167423132E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.268065910411877E+07,  2.395362871178922E+08,  1.274313955937698E+06, -2.060776845358975E+01,  4.482451820742700E-02,  5.452114302961362E-01,  8.116026094540370E+02,  2.433123412074398E+08, -3.567929463661394E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.089869735870641E+07,  2.395318533818709E+08,  1.321374621441618E+06, -2.064112807130610E+01, -1.475793444474866E-01,  5.441488302410969E-01,  8.105673282902428E+02,  2.430019717226248E+08, -3.616539295309119E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  3.911390999402679E+07,  2.395107643139265E+08,  1.368341660584271E+06, -2.067317446554449E+01, -3.407156099555999E-01,  5.430441043493254E-01,  8.095180465830317E+02,  2.426874049804855E+08, -3.665087900586674E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  3.732641095300337E+07,  2.394729566254290E+08,  1.415211420899659E+06, -2.070389647948837E+01, -5.345844794820577E-01,  5.418969555910857E-01,  8.084547822371994E+02,  2.423686463487448E+08, -3.713573471602694E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  3.553631515191075E+07,  2.394183670124119E+08,  1.461980224030346E+06, -2.073328273815377E+01, -7.291861063420420E-01,  5.407070816516437E-01,  8.073775536853660E+02,  2.420457013533629E+08, -3.761994153143572E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  3.374373849936086E+07,  2.393469321598442E+08,  1.508644365268663E+06, -2.076132164522159E+01, -9.245205928089446E-01,  5.394741748797751E-01,  8.062863799017898E+02,  2.417185756826793E+08, -3.810348041434188E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  3.194879791556479E+07,  2.392585887461816E+08,  1.555200113093689E+06, -2.078800137982363E+01, -1.120587986826271E+00,  5.381979222360651E-01,  8.051812804165454E+02,  2.413872751916634E+08, -3.858633182869142E+00,
