*******************************************************************************
 Revised: Oct 11, 2016             Janus  / (Saturn)                        610


 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 97 x 95 x 77    Density (g cm^-3)   = 0.65 +- 0.08 
  Mass (10^20 kg )        = 0.0198 +-0.0012 Geometric Albedo    = 0.5 
                                            V(1,0)              = +4.9 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 151.472 (10^3)  Orbital period      = 0.694590 d
  Eccentricity, e         = 0.007           Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.14 

 NOTE: The IAU rotational spin-pole model (defining latitude and logitude) is 
       valid only near the time of the 1981 Voyager 1 & 2 flybys; an updated
       Cassini-based coordinate grid model is not yet published by the IAU.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 12:45:05 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Janus (610)                     {source: sat393}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.308181307891062E+08, -1.498106859180159E+09,  3.129729255189240E+07,  1.788574956802575E+01, -1.287422592804842E+01,  5.118377602623516E+00,  5.017248722775629E+03,  1.504133326998266E+09,  1.137357765920526E+01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.297593737832028E+08, -1.498091796744887E+09,  3.119296299478900E+07,  5.970646632940762E+00,  1.297509614889540E+01, -7.337262299523026E+00,  5.016885527466648E+03,  1.504024443783853E+09, -1.359120425647639E+01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.292704054140148E+08, -1.498158541228627E+09,  3.118810063634026E+07,  6.450124137158721E+00, -1.465167658261294E+01,  7.184655124568919E+00,  5.016966501834210E+03,  1.504048719288539E+09,  1.418890207927381E+01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.282075593492396E+08, -1.498336600096342E+09,  3.118558272290093E+07,  1.733129963689585E+01,  1.067325907089436E+01, -7.237202307094295E+00,  5.017254511553923E+03,  1.504135062430340E+09, -1.225942747220038E+01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.276406385270031E+08, -1.498223886790832E+09,  3.107893772481459E+07, -3.638940887764733E+00, -8.795541844794322E+00,  5.098262883514062E+00,  5.016711781667855E+03,  1.503972356103765E+09,  9.176110296354919E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.267244716014364E+08, -1.498538979595913E+09,  3.116351761288500E+07,  2.423596881310811E+01,  2.227671096149241E+00, -3.463589366070337E+00,  5.017506256841206E+03,  1.504210533768804E+09, -4.332824292070724E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.259607024888592E+08, -1.498348727506566E+09,  3.099706006209606E+07, -6.658042003019689E+00,  1.465209281234485E+00, -3.395422629797085E-03,  5.016648546645648E+03,  1.503953398721026E+09, -9.021875700675808E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.252627784210109E+08, -1.498669162332692E+09,  3.110644770100719E+07,  2.304967221400458E+01, -7.925542702604778E+00,  2.006140852491903E+00,  5.017526550549767E+03,  1.504216617669576E+09,  6.018351525366807E+00,
