*******************************************************************************
 Revised: Sep 08, 2007              Juliet / (Uranus)                       711

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 42 +- 5           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +8.8

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  64.358 (10^3)  Orbital period      =  0.493066 d
  Eccentricity, e         =   0.001         Rotational period   = 
  Inclination, i  (deg)   =   0.1
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:41:05 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Juliet (711)                    {source: ura086x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697436372478564E+09,  1.268181690746330E+09, -3.018317292109919E+07,  5.058045793212951E+00,  4.788342306221183E+00,  5.039856742597895E+00,  9.942984952239998E+03,  2.980831898689042E+09,  6.563310691587604E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697191720604788E+09,  1.268685225327955E+09, -3.017291577817094E+07,  5.754495038188112E+00,  4.429018508617847E+00,  3.561415304004915E+00,  9.942960879223871E+03,  2.980824681780365E+09,  7.055949503634955E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696947624267253E+09,  1.269188313225565E+09, -3.016448960801274E+07,  6.180478267140765E+00,  4.113690547282097E+00,  1.974213250249518E+00,  9.942938260964234E+03,  2.980817900996713E+09,  7.323467496577717E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696703780701322E+09,  1.269691007002066E+09, -3.015799232804126E+07,  6.322621343137595E+00,  3.852058316142117E+00,  3.268087078519450E-01,  9.942916260540092E+03,  2.980811305435483E+09,  7.357495171847853E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696459835237983E+09,  1.270193375850822E+09, -3.015348427974582E+07,  6.175897243812488E+00,  3.652418827618489E+00, -1.329218378774239E+00,  9.942893907233622E+03,  2.980804604082791E+09,  7.156597115235597E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696215444537657E+09,  1.270695499997573E+09, -3.015092823666233E+07,  5.745218710610899E+00,  3.520884587526698E+00, -2.942361405830681E+00,  9.942870277452008E+03,  2.980797520052479E+09,  6.727405807965545E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695970283959758E+09,  1.271197459915406E+09, -3.015025626895368E+07,  5.043408536405876E+00,  3.461627250614901E+00, -4.462609087539953E+00,  9.942844503892515E+03,  2.980789793333727E+09,  6.082897948839793E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695724033546324E+09,  1.271699345815947E+09, -3.015132352333337E+07,  4.092388706976479E+00,  3.476503277398951E+00, -5.842281565449230E+00,  9.942815745182703E+03,  2.980781171689424E+09,  5.243313466161418E+00,
