            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.386817816539339E+08, -3.451595106793429E+08,  1.796224260759355E+07,  5.378895969042083E+00, -1.123111123789488E+01, -7.370321461214946E-02,  2.720354783544176E+03,  8.155418471907666E+08, -1.202776704172964E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.382164337821904E+08, -3.461295869064373E+08,  1.795585635233602E+07,  5.394024121971038E+00, -1.122506218472310E+01, -7.413677494546445E-02,  2.720320226745401E+03,  8.155314873231210E+08, -1.201208106166298E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.377496217792475E+08, -3.470990376056617E+08,  1.794943886629663E+07,  5.410462895089519E+00, -1.121541047495629E+01, -7.441616154760933E-02,  2.720285096033964E+03,  8.155209554007882E+08, -1.226755731694906E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.372815645246130E+08, -3.480677709385384E+08,  1.794299057097773E+07,  5.425259910439227E+00, -1.120908385730931E+01, -7.484048181352598E-02,  2.720249921684894E+03,  8.155104103962219E+08, -1.223358316854890E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.368121781001576E+08, -3.490358599633077E+08,  1.793650940661368E+07,  5.439273731016415E+00, -1.120114339310146E+01, -7.522669765658652E-02,  2.720214553563697E+03,  8.154998073002334E+08, -1.219763778352547E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.363415187161180E+08, -3.500034510969974E+08,  1.792998910528634E+07,  5.456560452517073E+00, -1.119570200771169E+01, -7.565267952611521E-02,  2.720179370123304E+03,  8.154892595701572E+08, -1.235014697714493E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.358694183577956E+08, -3.509703781780514E+08,  1.792343835808577E+07,  5.471296080637745E+00, -1.118793749472221E+01, -7.602897507125217E-02,  2.720143629182493E+03,  8.154785447056600E+08, -1.237157154780324E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.353959351978079E+08, -3.519367346597273E+08,  1.791685284248219E+07,  5.488780667054201E+00, -1.118025421614305E+01, -7.637560836944335E-02,  2.720107640397110E+03,  8.154677555392298E+08, -1.263731644627754E-01,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -7.349210903817612E+08, -3.529023781892708E+08,  1.791023688472784E+07,  5.503719646372502E+00, -1.117352737400330E+01, -7.679312651642789E-02,  2.720071263419340E+03,  8.154568499956493E+08, -1.263226174462770E-01,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -7.344447851344234E+08, -3.538673812747232E+08,  1.790358969589323E+07,  5.520669725303483E+00, -1.116366170397403E+01, -7.706288339836576E-02,  2.720034305870715E+03,  8.154457704013054E+08, -1.294397048250447E-01,
