*******************************************************************************
 Revised: Sep 29, 2017              Kale / (Jupiter)                        537
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:24:11 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Kale (537)                      {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.554430840203249E+08, -3.633827183151801E+08,  1.151600564605851E+07,  3.691796607489093E+00, -1.003836387088106E+01, -1.722588361650188E-01,  2.796520431856480E+03,  8.383757341134757E+08,  1.022026243730098E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.551230368528292E+08, -3.642492403023738E+08,  1.150127796490811E+07,  3.716710743473417E+00, -1.002002806329916E+01, -1.686604717868674E-01,  2.796812289064869E+03,  8.384632307033637E+08,  1.003352161879021E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.548008350139785E+08, -3.651141813428093E+08,  1.148686098197041E+07,  3.741673143274034E+00, -1.000176788576296E+01, -1.650667770642187E-01,  2.797098759616572E+03,  8.385491124142033E+08,  9.846449890102582E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.544764743623937E+08, -3.659775479707398E+08,  1.147275428703244E+07,  3.766683157331443E+00, -9.983583323693402E+00, -1.614779018598362E-01,  2.797379834145353E+03,  8.386333764380676E+08,  9.659058924328905E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.541499508110225E+08, -3.668393467182927E+08,  1.145895745764965E+07,  3.791740162628977E+00, -9.965474357734315E+00, -1.578939881706760E-01,  2.797655503614382E+03,  8.387160200657834E+08,  9.471360108738111E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.538212603273083E+08, -3.676995841168448E+08,  1.144547005861522E+07,  3.816843521806679E+00, -9.947440984499803E+00, -1.543151874713047E-01,  2.797925759317950E+03,  8.387970406874447E+08,  9.283365001514897E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.534903989336815E+08, -3.685582666970510E+08,  1.143229164176016E+07,  3.841992602698746E+00, -9.929483188793919E+00, -1.507416468537666E-01,  2.798190592882211E+03,  8.388764357926353E+08,  9.095085036705819E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.531573627066776E+08, -3.694154009879295E+08,  1.141942174641956E+07,  3.867186783630219E+00, -9.911600951151170E+00, -1.471735098522680E-01,  2.798449996260459E+03,  8.389542029690137E+08,  8.906531509414138E-01,
