*******************************************************************************
 Revised: Sep 29, 2017           Kallichore / (Jupiter)                     544

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:30:22 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Kallichore (544)                {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.289810855353129E+08, -3.277518693838310E+08,  2.104982816390553E+07,  7.454680824900798E+00, -1.298861347184557E+01,  3.388176690159437E-01,  2.667006724631426E+03,  7.995485014797844E+08, -1.463509615835323E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.283369120932971E+08, -3.288748594903257E+08,  2.107887619143337E+07,  7.456680202626174E+00, -1.300650954444613E+01,  3.335764020842786E-01,  2.666589174976409E+03,  7.994233232423698E+08, -1.434071267809600E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.276925817988306E+08, -3.299993909674364E+08,  2.110746775361112E+07,  7.458311436398938E+00, -1.302429224369089E+01,  3.282513609969824E-01,  2.666180164181379E+03,  7.993007048907793E+08, -1.404253536782555E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.270481265200368E+08, -3.311254537385304E+08,  2.113559561625563E+07,  7.459573125285406E+00, -1.304195509426053E+01,  3.228426282025678E-01,  2.665779801123915E+03,  7.991806790656897E+08, -1.374059614654140E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.264035782444559E+08, -3.322530371683832E+08,  2.116325255225761E+07,  7.460463928713561E+00, -1.305949157219932E+01,  3.173503036950756E-01,  2.665388193748126E+03,  7.990632781279309E+08, -1.343492836178845E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.257589690687902E+08, -3.333821300498001E+08,  2.119043134587596E+07,  7.460982666199158E+00, -1.307689497944157E+01,  3.117745474683495E-01,  2.665005448995693E+03,  7.989485341378124E+08, -1.312556821153941E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.251143311852384E+08, -3.345127205938770E+08,  2.121712479672740E+07,  7.461128299425853E+00, -1.309415855956600E+01,  3.061155515297376E-01,  2.664631672731378E+03,  7.988364788327913E+08, -1.281255411262483E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.244696968708310E+08, -3.356447964252833E+08,  2.124332572229752E+07,  7.460899903374052E+00, -1.311127548157012E+01,  3.003735406939008E-01,  2.664266969684402E+03,  7.987271436098983E+08, -1.249592650650856E+00,
