*******************************************************************************
JPL/HORIZONS                     22 Kalliope               2017-Nov-12 06:30:11
Rec #:    22 (+COV)   Soln.date: 2017-May-15_14:09:20   # obs: 2588 (1854-2017)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2452217.5 ! 2001-Nov-04.00 (TDB)         Residual RMS= .26077        
   EC= .102345785917726    QR= 2.612227712072933   TP= 2452178.3994508609      
   OM= 66.32760676422585   W=  357.280426160686    IN= 13.72089401287133       
   A= 2.910060100083829    MA= 7.763078775260855   ADIST= 3.207892488094725    
   PER= 4.96434            N= .19854142            ANGMOM= .029190792          
   DAN= 2.6125             DDN= 3.20748            L= 63.6855404               
   B= -.6448314000000001   MOID= 1.62527001        TP= 2001-Sep-25.8994508609  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .491                RAD= 83.768             ROTPER= 4.1483              
   H= 6.45                 G= .210                 B-V= .715                   
                           ALBEDO= .166            STYP= X                     
 
ASTEROID comments: 
1: soln ref.= JPL#87, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 06:30:11 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 22 Kalliope                     {source: JPL#87}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452217.5 ! 2001-Nov-04.00 (TDB)         Residual RMS= .26077        
   EC= .102345785917726    QR= 2.612227712072933   TP= 2452178.3994508609      
   OM= 66.32760676422585   W=  357.280426160686    IN= 13.72089401287133       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 7.648817882832704E-01  Y= 2.264410450256070E+00  Z= 1.062460543689611E+00
  VX=-1.034289191725566E-02 VY= 1.949820256133755E-03 VZ= 3.715246848955847E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .491                RAD= 83.768             ROTPER= 4.1483              
   H= 6.45                 G= .210                 B-V= .715                   
                           ALBEDO= .166            STYP= X                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -3.112339972210038E+08,  2.697564507551143E+08,  9.613879014916627E+07, -1.271441577136542E+01, -1.259789781682759E+01,  1.586528689799361E+00,  1.410774277218123E+03,  4.229394882503945E+08,  1.681850972406589E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -3.123304783255300E+08,  2.686662311070235E+08,  9.627523560469024E+07, -1.266707182918289E+01, -1.263863343834776E+01,  1.571930022120275E+00,  1.411259160178219E+03,  4.230848525048440E+08,  1.683058422409507E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -3.134228638858134E+08,  2.675725008907009E+08,  9.641041950353873E+07, -1.261961166218552E+01, -1.267916094429071E+01,  1.557326026293356E+00,  1.411744387751976E+03,  4.232303200718700E+08,  1.684242472531520E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -3.145111439003655E+08,  2.664752780940186E+08,  9.654434139502053E+07, -1.257203620381244E+01, -1.271948018064958E+01,  1.542716925815725E+00,  1.412229953200157E+03,  4.233758889311001E+08,  1.685403154703162E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -3.155953084482813E+08,  2.653745807179551E+08,  9.667700084772031E+07, -1.252434638598526E+01, -1.275959099804652E+01,  1.528102943387586E+00,  1.412715849792773E+03,  4.235215570649344E+08,  1.686540501178591E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -3.166753476891079E+08,  2.642704267761960E+08,  9.680839744942920E+07, -1.247654313908779E+01, -1.279949325170582E+01,  1.513484300910441E+00,  1.413202070809177E+03,  4.236673224585733E+08,  1.687654544533258E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -3.177512518627102E+08,  2.631628342947379E+08,  9.693853080707654E+07, -1.242862739194507E+01, -1.283918680143139E+01,  1.498861219484282E+00,  1.413688609538158E+03,  4.238131831000467E+08,  1.688745317658037E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -3.188230112891353E+08,  2.620518213114930E+08,  9.706740054665972E+07, -1.238060007180465E+01, -1.287867151157560E+01,  1.484233919407068E+00,  1.414175459278026E+03,  4.239591369802383E+08,  1.689812853760567E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -3.198906163684759E+08,  2.609374058758982E+08,  9.719500631317517E+07, -1.233246210431600E+01, -1.291794725101637E+01,  1.469602620172066E+00,  1.414662613336708E+03,  4.241051820929152E+08,  1.690857186359470E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -3.209540575807311E+08,  2.598196060485246E+08,  9.732134777054869E+07, -1.228421441351129E+01, -1.295701389313030E+01,  1.454967540466301E+00,  1.415150065031836E+03,  4.242513164347541E+08,  1.691878349282022E+00,
