*******************************************************************************
 Revised: Sep 29, 2017              Kalyke / (Jupiter)                      523

 Recently discovered Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:11:19 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Kalyke (523)                    {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.198159882740113E+08, -3.272945693450941E+08,  2.405062945445801E+07,  7.024132161021914E+00, -1.253565495881547E+01,  1.254659413490700E-01,  2.638817155540181E+03,  7.910974812719591E+08, -1.201133020492897E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.192088884295212E+08, -3.283777864525454E+08,  2.406127922827721E+07,  7.029095723375028E+00, -1.253879209207855E+01,  1.210570328007234E-01,  2.638473735463894E+03,  7.909945265231625E+08, -1.182074605407117E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.186013621199033E+08, -3.294612686421323E+08,  2.407154818786196E+07,  7.034004180159832E+00, -1.254179115731081E+01,  1.166508348077135E-01,  2.638135811517925E+03,  7.908932194727833E+08, -1.162992134019777E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.179934140713311E+08, -3.305450039956307E+08,  2.408143657646978E+07,  7.038858326216459E+00, -1.254465241288620E+01,  1.122475514790260E-01,  2.637803390399130E+03,  7.907935621284888E+08, -1.143887229097754E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.173850489431676E+08, -3.316289806176230E+08,  2.409094465438671E+07,  7.043658930071608E+00, -1.254737611762333E+01,  1.078473805770210E-01,  2.637476478343312E+03,  7.906955563597252E+08, -1.124761486953216E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.167762713277258E+08, -3.327131866345145E+08,  2.410007269936785E+07,  7.048406772507745E+00, -1.254996252296072E+01,  1.034505265243277E-01,  2.637155081123909E+03,  7.905992038973259E+08, -1.105616515324359E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.161670857502826E+08, -3.337976101949981E+08,  2.410882100660534E+07,  7.053102621197287E+00, -1.255241189388324E+01,  9.905718745680936E-02,  2.636839204053440E+03,  7.905045063339443E+08, -1.086453901876199E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.155574966705002E+08, -3.348822394708974E+08,  2.411718988819379E+07,  7.057747229860517E+00, -1.255472449781986E+01,  9.466755805652927E-02,  2.636528851989724E+03,  7.904114651259174E+08, -1.067275217919325E+00,
