*******************************************************************************
 Revised: Nov 05, 2015              Kerberos / (Pluto)                      904

 Newly discovered satellite of Pluto. Fit to all available observations
 including New Horizons encounter tracking.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 12:52:33 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Kerberos (904)                  {source: plu055l_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  1.532670008954492E+09, -4.748912268928820E+09,  6.477602396830821E+07,  5.204151131917295E+00,  4.370385833194509E-01, -1.599935491764741E+00,  1.664663340000404E+04,  4.990535144412107E+09,  1.161629132772256E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  1.533119272422586E+09, -4.748874255742689E+09,  6.463878672311878E+07,  5.196117107639079E+00,  4.435230132552506E-01, -1.576975561230836E+00,  1.664696710727861E+04,  4.990635187336205E+09,  1.153780682597310E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  1.533568008872507E+09, -4.748835517588248E+09,  6.450350720603895E+07,  5.191919447464189E+00,  4.538158552507968E-01, -1.554573845838112E+00,  1.664729819951013E+04,  4.990734446290115E+09,  1.143476839644164E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  1.534016539368128E+09, -4.748795737017492E+09,  6.437013600494432E+07,  5.191310863973288E+00,  4.675433175174976E-01, -1.532907550614830E+00,  1.664762599541538E+04,  4.990832717030272E+09,  1.130996742579869E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  1.534465165157454E+09, -4.748754651004014E+09,  6.423857196932197E+07,  5.194099026880334E+00,  4.838745662130446E-01, -1.512945681628088E+00,  1.664794996438802E+04,  4.990929840484898E+09,  1.117060975099333E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  1.534914174082121E+09, -4.748712075356400E+09,  6.410861375691247E+07,  5.200170241318759E+00,  5.018911673230225E-01, -1.495930942390957E+00,  1.664826980844916E+04,  4.991025727322163E+09,  1.102494077548703E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  1.535363850289519E+09, -4.748667891413389E+09,  6.397996322324181E+07,  5.209574457355293E+00,  5.210727663358136E-01, -1.482776301411847E+00,  1.664858543012327E+04,  4.991120348319642E+09,  1.087796412527178E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  1.535814490523960E+09, -4.748621996931053E+09,  6.385227376118994E+07,  5.222480380048258E+00,  5.415238552842168E-01, -1.473616176308846E+00,  1.664889679536881E+04,  4.991213693271938E+09,  1.072920443538560E+00,
