*******************************************************************************
 Revised: Sep 29, 2017                Kore / (Jupiter)                      549
 Description: Apr 15, 2008   http://ssd.jpl.nasa.gov/?sat_elem

 Irregular Jovian satellite reported by S.S. Sheppard (Univ.  of Hawaii). 
 Initial designation S/2003 J14 (IAUC 8116, 2004-Apr-11).  Named in IAUC 8826 
 (2007-Apr-5). 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:34:54 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Kore (549)                      {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.181709976983911E+08, -3.287936231835189E+08,  1.155307662978616E+07,  6.856249640197311E+00, -1.223779453994018E+01,  1.094998926755522E+00,  2.634962755670764E+03,  7.899419612609916E+08, -1.123627146075513E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.175784249538370E+08, -3.298510453577403E+08,  1.164783921919656E+07,  6.860702861716081E+00, -1.223955327163181E+01,  1.098567365855656E+00,  2.634641558001540E+03,  7.898456686222315E+08, -1.105364010795928E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.169854698177578E+08, -3.309086149918859E+08,  1.174290696960211E+07,  6.865101429724874E+00, -1.224120794458055E+01,  1.102062855827866E+00,  2.634325628095893E+03,  7.897509552192614E+08, -1.087071031576071E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.163921369790969E+08, -3.319663230908766E+08,  1.183827358333410E+07,  6.869446097987925E+00, -1.224275846111376E+01,  1.105485521024205E+00,  2.634014974327511E+03,  7.896578235624512E+08, -1.068749772308929E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.157984310631515E+08, -3.330241606513918E+08,  1.193393277405696E+07,  6.873737602943374E+00, -1.224420472158738E+01,  1.108835492309774E+00,  2.633709604624158E+03,  7.895662760284845E+08, -1.050401781881040E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.152043566306959E+08, -3.340821186612843E+08,  1.202987826644360E+07,  6.877976698068652E+00, -1.224554662563528E+01,  1.112112895838527E+00,  2.633409526464191E+03,  7.894763148593158E+08, -1.032028624943669E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.146099181777035E+08, -3.351401881003404E+08,  1.212610379635340E+07,  6.882164126973370E+00, -1.224678408662507E+01,  1.115317865343014E+00,  2.633114746876829E+03,  7.893879421622523E+08, -1.013631851093874E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.140151201363595E+08, -3.361983599410819E+08,  1.222260311146060E+07,  6.886300625538288E+00, -1.224791702068928E+01,  1.118450539098935E+00,  2.632825272446456E+03,  7.893011599112428E+08, -9.952130013818029E-01,
